A-Mark Precious Metals PE Ratio Historical Data,A-Mark Precious Metals PE Ratio Historical Data,A-Mark Precious Metals PE Ratio Historical Data,A-Mark Precious Metals PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,42.62,,15.5
2024-06-30,32.04,$2.75,11.65
2024-03-31,30.22,$3.26,9.27
2023-12-31,29.58,$4.51,6.56
2023-09-30,28.49,$5.29,5.38
2023-06-30,35.18,$6.35,5.54
2023-03-31,32.38,$6.16,5.26
2022-12-31,32.29,$6.23,5.18
2022-09-30,26.22,$6.19,4.24
2022-06-30,28.79,$5.44,5.29
2022-03-31,34.52,$6.06,5.7
2021-12-31,27.27,$8.95,3.05
2021-09-30,26.79,$8.23,3.26
2021-06-30,20.06,$8.69,2.31
2021-03-31,15.53,$7.79,1.99
2020-12-31,11.06,$4.18,2.65
2020-09-30,13.86,$3.68,3.77
2020-06-30,7.5,$2.15,3.5
2020-03-31,4.84,$0.84,5.76
2019-12-31,3.26,$0.11,31.02
2019-09-30,4.75,$0.06,79.09
2019-06-30,5.14,$0.16,33.16
2019-03-31,4.69,0,0.0
2018-12-31,4.64,$-0.12,0.0
2018-09-30,5.13,$-0.17,0.0
2018-06-30,5.23,$-0.24,0.0
2018-03-31,4.82,$0.06,80.4
2017-12-31,5.73,$0.19,30.96
2017-09-30,6.42,$0.40,16.26
2017-06-30,6.34,$0.50,12.81
2017-03-31,6.58,$0.49,13.56
2016-12-31,7.48,$0.49,15.26
2016-09-30,6.13,$0.39,15.72
2016-06-30,6.16,$0.64,9.69
2016-03-31,7.57,$0.74,10.23
2015-12-31,7.14,$0.78,9.22
2015-09-30,4.37,$0.80,5.46
2015-06-30,3.94,$0.50,7.87
2015-03-31,3.97,$0.43,9.33
2014-12-31,3.71,$0.45,8.34
