Kimbell Royalty PE Ratio Historical Data,Kimbell Royalty PE Ratio Historical Data,Kimbell Royalty PE Ratio Historical Data,Kimbell Royalty PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,16.2,,33.75
2024-06-30,15.94,$0.48,33.2
2024-03-31,14.66,$0.60,24.43
2023-12-31,13.83,$0.92,15.03
2023-09-30,14.24,$1.26,11.3
2023-06-30,12.75,$1.66,7.68
2023-03-31,12.91,$1.98,6.52
2022-12-31,13.73,$1.75,7.85
2022-09-30,13.59,$1.71,7.95
2022-06-30,12.17,$1.16,10.49
2022-03-31,12.28,$0.65,18.89
2021-12-31,10.03,$0.50,20.07
2021-09-30,10.15,$-1.60,0.0
2021-06-30,8.99,$-2.14,0.0
2021-03-31,6.92,$-3.57,0.0
2020-12-31,5.28,$-4.84,0.0
2020-09-30,3.95,$-5.45,0.0
2020-06-30,5.48,$-5.68,0.0
2020-03-31,3.63,$-4.83,0.0
2019-12-31,10.31,$-3.75,0.0
2019-09-30,8.66,$-1.58,0.0
2019-06-30,9.27,$-1.00,0.0
2019-03-31,10.49,$-0.38,0.0
2018-12-31,7.61,$-3.40,0.0
2018-09-30,10.74,$-3.24,0.0
2018-06-30,11.82,$-3.08,0.0
2018-03-31,9.96,$-3.14,0.0
2017-12-31,8.36,$0.09,92.85
