ScanSource PE Ratio Historical Data,ScanSource PE Ratio Historical Data,ScanSource PE Ratio Historical Data,ScanSource PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,49.72,,16.36
2024-06-30,44.31,$3.04,14.58
2024-03-31,44.04,$3.15,13.98
2023-12-31,39.61,$3.48,11.38
2023-09-30,30.31,$3.20,9.47
2023-06-30,29.56,$3.53,8.37
2023-03-31,30.44,$3.56,8.55
2022-12-31,29.22,$3.64,8.03
2022-09-30,26.41,$3.53,7.48
2022-06-30,31.14,$3.45,9.03
2022-03-31,34.79,$3.59,9.69
2021-12-31,35.08,$3.19,11.0
2021-09-30,34.79,$1.73,20.11
2021-06-30,28.13,$0.40,70.33
2021-03-31,29.95,$-9.09,0.0
2020-12-31,26.38,$-9.53,0.0
2020-09-30,19.83,$-8.52,0.0
2020-06-30,24.09,$-7.60,0.0
2020-03-31,21.39,$1.42,15.06
2019-12-31,36.95,$1.80,20.53
2019-09-30,30.55,$2.13,14.34
2019-06-30,32.56,$2.24,14.54
2019-03-31,35.82,$2.19,16.36
2018-12-31,34.38,$2.16,15.92
2018-09-30,39.9,$1.69,23.61
2018-06-30,40.3,$1.29,31.24
2018-03-31,35.55,$1.63,21.81
2017-12-31,35.8,$1.70,21.06
2017-09-30,43.65,$2.30,18.98
2017-06-30,40.3,$2.72,14.82
2017-03-31,39.25,$2.48,15.83
2016-12-31,40.35,$2.53,15.95
2016-09-30,36.5,$2.39,15.27
2016-06-30,37.11,$2.38,15.59
2016-03-31,40.38,$2.45,16.48
2015-12-31,32.22,$2.36,13.65
2015-09-30,35.46,$2.17,16.34
2015-06-30,38.06,$2.27,16.77
2015-03-31,40.65,$2.64,15.4
2014-12-31,40.16,$2.78,14.45
2014-09-30,34.59,$2.84,12.18
2014-06-30,38.08,$2.86,13.31
2014-03-31,40.77,$1.44,28.31
2013-12-31,42.43,$1.35,31.43
2013-09-30,34.59,$1.30,26.61
2013-06-30,32.0,$1.24,25.81
2013-03-31,28.22,$2.43,11.61
2012-12-31,31.77,$2.46,12.91
2012-09-30,32.02,$2.64,12.13
2012-06-30,30.64,$2.68,11.43
2012-03-31,37.32,$2.68,13.93
2011-12-31,36.0,$2.75,13.09
2011-09-30,29.56,$2.78,10.63
2011-06-30,37.48,$2.69,13.93
2011-03-31,37.99,$2.50,15.2
2010-12-31,31.9,$2.35,13.57
2010-09-30,27.74,$1.99,13.94
2010-06-30,24.93,$1.82,13.7
2010-03-31,28.78,$1.77,16.26
2009-12-31,26.7,$1.67,15.99
