Strategic Education PE Ratio Historical Data,Strategic Education PE Ratio Historical Data,Strategic Education PE Ratio Historical Data,Strategic Education PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,88.82,,21.05
2024-03-31,102.91,$4.22,24.39
2023-12-31,90.78,$2.90,31.3
2023-09-30,73.46,$2.04,36.01
2023-06-30,65.72,$2.51,26.18
2023-03-31,86.36,$2.17,39.8
2022-12-31,74.76,$2.89,25.87
2024-06-30,109.94,$2.41,45.62
2022-09-30,58.19,$2.07,28.11
2022-06-30,66.24,$1.98,33.46
2022-03-31,61.74,$2.18,28.32
2021-12-31,53.24,$2.29,23.25
2021-09-30,64.23,$1.64,39.17
2021-06-30,68.76,$1.95,35.26
2021-03-31,82.43,$2.67,30.87
2020-12-31,84.87,$3.87,21.93
2020-09-30,80.91,$4.91,16.48
2020-06-30,135.07,$5.19,26.02
2020-03-31,122.43,$4.74,25.83
2019-12-31,138.64,$3.66,37.88
2019-09-30,118.04,$3.39,34.82
2019-06-30,154.17,$-0.33,0.0
2019-03-31,113.42,$-0.97,0.0
2018-12-31,97.6,$-0.65,0.0
2018-09-30,117.49,$-2.28,0.0
2018-06-30,96.54,$1.25,77.23
2018-03-31,86.13,$1.71,50.37
2017-12-31,76.16,$1.82,41.85
2017-09-30,74.01,$3.50,21.15
2017-06-30,78.81,$3.21,24.55
2017-03-31,67.86,$3.01,22.54
2016-12-31,67.76,$3.21,21.11
2016-09-30,39.23,$3.35,11.71
2016-06-30,41.29,$3.43,12.04
2016-03-31,40.97,$3.82,10.72
2015-12-31,50.52,$3.73,13.55
2015-09-30,46.2,$3.73,12.39
2015-06-30,36.22,$3.84,9.43
2015-03-31,44.89,$4.02,11.17
2014-12-31,62.42,$4.36,14.32
2014-09-30,50.32,$1.35,37.28
2014-06-30,44.13,$1.19,37.08
2014-03-31,39.02,$1.32,29.56
2013-12-31,28.97,$1.51,19.18
2013-09-30,34.89,$4.78,7.3
2013-06-30,41.04,$4.84,8.48
2013-03-31,40.66,$5.27,7.72
2012-12-31,47.2,$5.77,8.18
2012-09-30,52.96,$6.60,8.02
2012-06-30,88.42,$7.44,11.88
2012-03-31,75.58,$8.12,9.31
2011-12-31,77.19,$8.83,8.74
2011-09-30,60.23,$9.26,6.5
2011-06-30,98.21,$9.78,10.04
2011-03-31,100.57,$9.85,10.21
2010-12-31,116.47,$9.70,12.01
2010-09-30,132.58,$9.29,14.27
2010-06-30,157.23,$8.78,17.91
2010-03-31,183.59,$8.18,22.44
2009-12-31,159.67,$7.61,20.98
