Union Pacific PE Ratio Historical Data,Union Pacific PE Ratio Historical Data,Union Pacific PE Ratio Historical Data,Union Pacific PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,256.09,,23.69
2024-06-30,225.08,$10.81,20.82
2024-03-31,244.65,$10.74,22.78
2023-12-31,243.1,$11.10,21.9
2023-03-31,195.62,$11.32,17.28
2022-12-31,200.04,$11.22,17.83
2022-09-30,187.05,$11.21,16.69
2022-06-30,203.6,$10.73,18.97
2022-03-31,259.3,$10.37,25.0
2021-12-31,237.96,$10.52,22.62
2023-06-30,200.22,$9.86,20.31
2021-09-30,184.25,$9.34,19.73
2021-06-30,205.73,$8.78,23.43
2021-03-31,205.19,$7.73,26.55
2020-12-31,192.95,$7.88,24.49
2020-09-30,181.57,$7.85,23.13
2020-06-30,155.16,$8.06,19.25
2020-03-31,128.71,$8.61,14.95
2019-12-31,163.98,$8.39,19.55
2019-09-30,146.12,$8.49,17.21
2019-06-30,151.65,$8.42,18.01
2019-03-31,149.16,$8.18,18.23
2018-12-31,122.68,$7.93,15.47
2018-09-30,144.51,$15.06,9.6
2018-06-30,125.07,$14.41,8.68
2018-03-31,118.08,$13.88,8.51
2017-12-31,117.15,$13.52,8.66
2017-09-30,100.77,$5.66,17.8
2017-06-30,94.09,$5.52,17.05
2017-03-31,91.01,$5.24,17.37
2016-12-31,88.59,$5.08,17.44
2016-09-30,82.83,$5.00,16.57
2016-06-30,73.68,$5.14,14.33
2016-03-31,66.73,$5.35,12.47
2015-12-31,65.15,$5.49,11.87
2015-09-30,73.18,$5.79,12.64
2015-06-30,78.44,$5.82,13.48
2015-03-31,88.61,$5.87,15.1
2014-12-31,97.02,$5.76,16.84
2014-09-30,87.92,$5.43,16.21
2014-06-30,80.51,$5.14,15.68
2014-03-31,75.39,$4.89,15.42
2013-12-31,67.15,$4.72,14.24
2013-09-30,61.79,$4.54,13.62
2013-06-30,61.05,$4.39,13.91
2013-03-31,56.11,$4.26,13.19
2012-12-31,49.28,$4.14,11.92
2012-09-30,46.27,$4.04,11.47
2012-06-30,46.28,$3.87,11.97
2012-03-31,41.47,$3.61,11.49
2011-12-31,40.66,$3.36,12.1
2011-09-30,31.15,$3.15,9.91
2011-06-30,39.62,$3.00,13.21
2011-03-31,37.14,$2.91,12.79
2010-12-31,34.86,$2.77,12.61
2010-09-30,30.65,$2.53,12.14
2010-06-30,25.92,$2.26,11.5
2010-03-31,27.21,$2.02,13.5
2009-12-31,23.63,$1.87,12.63
2009-09-30,21.48,$3.84,5.59
