Hawkins PE Ratio Historical Data,Hawkins PE Ratio Historical Data,Hawkins PE Ratio Historical Data,Hawkins PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,133.98,,34.8
2024-06-30,90.86,$3.85,23.6
2024-03-31,76.54,$3.59,21.32
2023-12-31,70.02,$3.48,20.12
2023-09-30,58.37,$3.28,17.8
2023-06-30,47.17,$3.04,15.52
2023-03-31,43.16,$2.86,15.09
2022-12-31,37.92,$2.81,13.49
2022-09-30,38.17,$2.78,13.73
2022-06-30,35.16,$2.59,13.58
2022-03-31,44.63,$2.44,18.29
2021-12-31,38.23,$2.37,16.13
2021-09-30,33.69,$2.27,14.87
2021-06-30,31.52,$2.17,14.52
2021-03-31,32.14,$1.94,16.61
2020-12-31,24.98,$1.73,14.44
2020-09-30,21.92,$1.57,13.96
2020-06-30,20.16,$1.43,14.1
2020-03-31,16.77,$1.34,12.56
2019-12-31,21.46,$1.29,16.7
2019-09-30,19.8,$1.27,15.65
2019-06-30,20.12,$1.18,17.12
2019-03-31,16.97,$1.14,14.88
2018-12-31,18.76,$-0.79,0.0
2018-09-30,18.89,$-0.18,0.0
2018-06-30,16.02,$-0.28,0.0
2018-03-31,15.93,$-0.43,0.0
2017-12-31,15.73,$1.53,10.32
2017-09-30,18.24,$0.89,20.49
2017-06-30,20.48,$0.99,20.79
2017-03-31,21.65,$1.07,20.24
2016-12-31,23.63,$1.10,21.48
2016-09-30,18.98,$0.97,19.57
2016-06-30,18.83,$0.95,19.82
2016-03-31,15.65,$0.78,20.2
2015-12-31,15.34,$0.70,22.07
2015-06-30,17.14,$0.95,18.14
2015-03-31,16.12,$0.91,17.72
2014-12-31,18.21,$0.93,19.68
2014-09-30,15.11,$1.05,14.46
2014-06-30,15.44,$0.92,16.79
2014-03-31,15.28,$0.88,17.36
2015-09-30,16.51,$0.92,17.94
2013-12-31,15.31,$0.85,18.12
2013-09-30,15.54,$0.75,20.85
2013-06-30,16.06,$0.85,19.01
2013-03-31,16.29,$0.82,19.99
2012-12-31,15.62,$0.79,19.77
2012-09-30,16.8,$0.99,16.97
2012-06-30,15.31,$0.98,15.62
2012-03-31,14.92,$1.10,13.62
2011-12-31,14.65,$1.02,14.43
2011-09-30,12.66,$0.96,13.25
2011-06-30,14.26,$0.95,15.01
2011-03-31,16.17,$0.98,16.5
2010-12-31,17.34,$1.16,14.95
2010-09-30,13.84,$1.23,11.3
2010-06-30,9.3,$1.22,7.63
2010-03-31,9.35,$1.16,8.06
2009-12-31,8.33,$1.14,7.31
