Carvana PE Ratio Historical Data,Carvana PE Ratio Historical Data,Carvana PE Ratio Historical Data,Carvana PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,191.92,,64.62
2024-06-30,128.72,$2.97,43.34
2024-03-31,87.91,$2.28,38.56
2023-12-31,52.94,$0.54,98.04
2023-09-30,41.98,$-6.07,0.0
2023-06-30,25.92,$-12.34,0.0
2023-03-31,9.79,$-14.14,0.0
2022-12-31,4.74,$-15.52,0.0
2022-09-30,20.3,$-8.93,0.0
2022-06-30,22.58,$-6.64,0.0
2022-03-31,119.29,$-4.03,0.0
2021-12-31,231.79,$-1.60,0.0
2021-09-30,301.54,$-1.45,0.0
2021-06-30,301.82,$-1.17,0.0
2021-03-31,262.4,$-2.05,0.0
2020-12-31,239.54,$-2.78,0.0
2020-09-30,223.06,$-2.73,0.0
2020-06-30,120.2,$-3.41,0.0
2020-03-31,55.09,$-3.48,0.0
2019-12-31,92.05,$-3.03,0.0
2019-09-30,66.0,$-2.71,0.0
2019-03-31,58.06,$-2.34,0.0
2018-12-31,32.71,$-2.18,0.0
2018-09-30,59.09,$-1.80,0.0
2018-06-30,41.6,$-1.88,0.0
2018-03-31,22.93,$-1.76,0.0
2017-12-31,19.12,$-1.51,0.0
