Signet Jewelers PE Ratio Historical Data,Signet Jewelers PE Ratio Historical Data,Signet Jewelers PE Ratio Historical Data,Signet Jewelers PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,100.79,,11.67
2024-07-31,84.13,$8.64,9.74
2024-04-30,97.69,$12.30,7.94
2024-01-31,98.85,$14.99,6.59
2023-10-31,69.23,$8.26,8.38
2023-07-31,79.53,$8.79,9.05
2023-04-30,72.48,$9.99,7.26
2023-01-31,75.43,$6.31,11.95
2022-10-31,63.9,$6.20,10.31
2022-07-31,59.53,$7.05,8.44
2022-04-30,68.32,$8.07,8.47
2022-01-31,83.6,$12.19,6.86
2021-10-31,86.37,$11.40,7.58
2021-07-31,62.19,$9.97,6.24
2021-04-30,57.6,$4.64,12.41
2021-01-31,39.16,$-1.42,0.0
2020-10-31,21.48,$-2.40,0.0
2020-07-31,10.35,$-3.26,0.0
2020-04-30,9.7,$-2.39,0.0
2020-01-31,23.43,$1.09,21.5
2019-10-31,15.25,$-4.30,0.0
2019-07-31,16.5,$-4.20,0.0
2019-04-30,20.74,$-3.90,0.0
2019-01-31,21.8,$1.69,12.9
2018-10-31,49.09,$3.74,13.13
2018-07-31,50.26,$5.81,8.65
2018-01-31,45.32,$7.40,6.12
2017-10-31,56.18,$6.08,9.24
2017-07-31,52.15,$-2.20,0.0
2017-04-30,55.86,$-3.33,0.0
2017-01-31,65.6,$-3.30,0.0
2018-04-30,33.51,$-5.35,0.0
2016-10-31,68.41,$6.55,10.44
2016-07-31,73.78,$6.54,11.28
2016-04-30,90.84,$6.26,14.51
2016-01-31,96.84,$5.87,16.5
2015-10-31,125.77,$5.29,23.77
2015-07-31,100.86,$5.08,19.85
2015-04-30,111.4,$5.02,22.19
2015-01-31,100.42,$5.72,17.56
2014-10-31,99.36,$3.30,30.11
2014-07-31,84.15,$4.16,20.23
2014-01-31,65.53,$4.57,14.34
2013-10-31,61.39,$4.51,13.61
2013-07-31,59.99,$5.29,11.34
2013-04-30,56.16,$4.88,11.51
2013-01-31,51.13,$4.60,11.12
2014-04-30,83.61,$3.44,24.31
2012-10-31,42.21,$4.03,10.47
2012-07-31,35.73,$3.90,9.16
2012-04-30,39.57,$3.92,10.09
2012-01-31,36.89,$4.17,8.85
2011-10-31,34.81,$2.45,14.21
2011-04-30,35.25,$2.62,13.45
2011-01-31,34.22,$2.35,14.56
2010-10-31,28.34,$2.48,11.43
2010-07-31,23.98,$3.17,7.57
2010-04-30,25.8,$2.62,9.85
2010-01-31,22.04,$2.34,9.42
2011-07-31,34.52,$1.31,26.35
2009-10-31,20.31,$-4.43,0.0
