JOYY PE Ratio Historical Data,JOYY PE Ratio Historical Data,JOYY PE Ratio Historical Data,JOYY PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,33.07,,8.03
2024-06-30,30.09,$4.12,7.3
2024-03-31,30.75,$5.31,5.79
2023-12-31,39.7,$4.97,7.99
2023-09-30,38.11,$-1.15,0.0
2023-06-30,30.56,$3.27,9.34
2023-03-31,29.97,$1.48,20.25
2022-12-31,30.37,$0.72,42.18
2022-09-30,24.62,$6.95,3.54
2022-06-30,27.74,$0.74,37.49
2022-03-31,33.13,$-0.92,0.0
2021-12-31,40.98,$-1.19,0.0
2021-09-30,48.96,$-2.09,0.0
2021-06-30,58.45,$1.66,35.21
2021-03-31,82.01,$15.22,5.39
2020-12-31,69.98,$16.53,4.23
2020-09-30,70.16,$16.85,4.16
2020-06-30,76.73,$13.19,5.82
2020-03-31,46.15,$1.10,41.95
2019-12-31,45.74,$7.04,6.5
2019-09-30,48.72,$8.30,5.87
2019-06-30,60.38,$9.60,6.29
2019-03-31,72.79,$9.24,7.88
2018-12-31,51.87,$3.76,13.79
2018-09-30,64.92,$4.00,16.23
2018-06-30,87.05,$4.12,21.13
2018-03-31,91.15,$5.91,15.42
2017-12-31,97.96,$6.16,15.9
2017-09-30,75.19,$5.79,12.99
2017-06-30,50.28,$5.24,9.6
2017-03-31,39.95,$4.67,8.56
2016-12-31,34.16,$4.29,7.96
2016-09-30,46.17,$3.32,13.91
2016-06-30,29.35,$3.11,9.44
2015-12-31,54.13,$2.83,19.13
2015-09-30,47.35,$2.81,16.85
2015-06-30,60.24,$3.16,19.06
2015-03-31,47.27,$2.94,16.08
2014-12-31,54.02,$2.81,19.22
2014-09-30,64.89,$2.40,27.04
2014-06-30,65.42,$1.88,34.8
2014-03-31,66.16,$1.46,45.32
2013-12-31,43.57,$1.07,40.72
2013-06-30,23.25,$0.89,26.12
2013-03-31,14.64,$1.20,12.2
