IRSA Inversiones Y Representaciones S.A PE Ratio Historical Data,IRSA Inversiones Y Representaciones S.A PE Ratio Historical Data,IRSA Inversiones Y Representaciones S.A PE Ratio Historical Data,IRSA Inversiones Y Representaciones S.A PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,12.29,,19.47
2024-03-31,9.36,$0.63,14.83
2023-12-31,8.6,$6.78,1.27
2023-09-30,5.72,$7.07,0.81
2023-06-30,7.92,$3.81,2.08
2023-03-31,5.18,$4.49,1.15
2022-12-31,4.26,$1.26,3.39
2022-09-30,3.46,$3.46,1.0
2022-06-30,3.06,$3.25,0.94
2022-03-31,4.24,$-0.98,0.0
2021-12-31,3.63,$2.96,1.22
2021-09-30,3.48,$-0.29,0.0
2020-12-31,3.84,$-2.69,0.0
2020-09-30,2.4,$-2.43,0.0
2020-06-30,2.58,$-2.88,0.0
2020-03-31,2.96,$-2.88,0.0
2019-12-31,5.89,$-1.81,0.0
2019-09-30,4.38,$-3.46,0.0
2019-06-30,8.14,$0.99,8.21
2019-03-31,9.08,$0.99,9.16
2018-12-31,10.88,$2.90,3.75
2018-09-30,14.12,$15.28,0.92
2018-06-30,14.4,$10.17,1.42
2018-03-31,19.69,$10.17,1.94
2017-12-31,24.65,$9.78,2.52
2017-09-30,19.48,$3.97,4.91
2017-06-30,19.13,$2.61,7.33
2017-03-31,19.44,$1.83,10.63
2016-12-31,14.63,$1.49,9.84
2016-09-30,15.07,$-2.17,0.0
2016-06-30,13.34,$-2.00,0.0
2016-03-31,11.87,$0.42,28.36
2015-12-31,9.76,$0.13,73.87
2015-09-30,11.53,$0.53,21.82
2015-06-30,14.24,$1.11,12.8
2015-03-31,15.64,$-1.49,0.0
2014-12-31,12.19,$-1.12,0.0
2014-09-30,10.92,$-1.29,0.0
2014-06-30,12.93,$-1.19,0.0
2014-03-31,8.35,$-0.51,0.0
2013-12-31,9.55,$0.02,432.28
2013-09-30,6.63,$0.88,7.52
2013-06-30,5.52,$0.94,5.9
2013-03-31,7.01,$1.48,4.75
2012-12-31,5.18,$1.48,3.51
2012-09-30,4.75,$1.29,3.69
2012-06-30,4.58,$1.15,4.0
2012-03-31,6.53,$1.16,5.65
2011-12-31,6.7,$1.84,3.64
2011-09-30,5.17,$1.88,2.74
2011-06-30,8.18,$2.13,3.85
2011-03-31,7.98,$1.85,4.31
2010-12-31,9.26,$0.84,11.06
2010-09-30,8.24,$0.29,28.76
2010-06-30,5.81,$0.68,8.52
2010-03-31,6.03,$0.68,8.83
2009-12-31,5.27,$0.66,7.98
