Huntsman PE Ratio Historical Data,Huntsman PE Ratio Historical Data,Huntsman PE Ratio Historical Data,Huntsman PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,23.5,,0.0
2024-06-30,22.51,$-0.50,0.0
2024-03-31,25.46,$-0.52,0.0
2023-12-31,24.34,$0.53,45.93
2023-09-30,23.42,$0.46,50.91
2023-06-30,25.7,$0.96,26.77
2023-03-31,25.78,$1.95,13.22
2022-12-31,25.67,$2.16,11.89
2022-09-30,22.75,$5.37,4.24
2022-06-30,26.07,$5.81,4.49
2022-03-31,34.26,$5.41,6.33
2021-12-31,31.69,$4.74,6.68
2021-09-30,26.72,$3.55,7.53
2021-06-30,23.78,$2.83,8.4
2021-03-31,25.67,$1.85,13.88
2020-12-31,22.26,$4.64,4.8
2020-09-30,19.54,$4.44,4.4
2020-06-30,15.7,$4.35,3.61
2020-03-31,12.5,$5.10,2.45
2019-12-31,20.69,$2.45,8.44
2019-09-30,19.78,$-0.32,0.0
2019-06-30,17.26,$-0.50,0.0
2019-03-31,18.84,$0.74,25.46
2018-12-31,16.05,$1.34,11.97
2018-09-30,22.46,$3.77,5.96
2018-06-30,23.94,$4.42,5.42
2018-03-31,23.87,$3.40,7.02
2017-12-31,27.02,$2.60,10.39
2017-09-30,22.17,$2.13,10.41
2017-06-30,20.8,$1.76,11.82
2017-03-31,19.65,$1.43,13.74
2016-12-31,15.19,$1.36,11.17
2016-09-30,12.87,$0.85,15.14
2016-06-30,10.55,$0.84,12.56
2016-03-31,10.35,$0.60,17.24
2015-12-31,8.76,$0.38,23.04
2015-09-30,7.37,$0.20,36.87
2015-06-30,16.66,$0.74,22.51
2015-03-31,16.64,$1.10,15.13
2014-12-31,17.0,$1.30,13.08
2014-09-30,19.29,$1.63,11.84
2014-06-30,20.77,$1.13,18.38
2014-03-31,17.97,$0.84,21.39
2013-12-31,18.0,$0.52,34.62
2013-09-30,15.0,$0.18,83.35
2013-06-30,11.98,$0.40,29.95
2013-03-31,13.36,$0.73,18.3
2012-12-31,11.35,$1.51,7.52
2012-09-30,10.59,$2.12,5.0
2012-06-30,9.12,$1.50,6.08
2012-03-31,9.79,$1.45,6.75
2011-12-31,6.94,$1.03,6.74
2011-09-30,6.64,$0.71,9.36
2011-06-30,12.84,$1.08,11.89
2011-03-31,11.77,$1.08,10.9
2010-12-31,10.51,$0.09,116.79
2010-09-30,7.74,$0.23,33.63
2010-06-30,5.74,$-0.29,0.0
2010-03-31,7.9,$0.75,10.54
2009-12-31,7.35,$0.24,30.62
