AMN Healthcare Services Inc PE Ratio Historical Data,AMN Healthcare Services Inc PE Ratio Historical Data,AMN Healthcare Services Inc PE Ratio Historical Data,AMN Healthcare Services Inc PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,42.42,,16.38
2024-06-30,51.23,$2.59,19.78
2024-03-31,62.51,$3.72,16.8
2023-12-31,74.88,$5.29,14.16
2023-09-30,85.18,$6.84,12.45
2023-06-30,109.12,$7.55,14.45
2023-03-31,82.96,$8.77,9.46
2022-12-31,102.82,$9.84,10.45
2022-09-30,105.96,$10.38,10.21
2022-06-30,109.71,$9.82,11.17
2022-03-31,104.33,$8.44,12.36
2021-12-31,122.33,$6.82,17.94
2021-09-30,114.75,$4.59,25.0
2021-06-30,96.98,$3.60,26.94
2021-03-31,73.7,$2.68,27.5
2020-12-31,68.25,$1.48,46.11
2020-09-30,58.46,$1.87,31.26
2020-06-30,45.24,$1.81,24.99
2020-03-31,57.81,$1.95,29.65
2019-12-31,62.31,$2.39,26.07
2019-09-30,57.56,$2.55,22.57
2019-06-30,54.25,$2.64,20.55
2019-03-31,47.09,$2.76,17.06
2018-12-31,56.66,$2.89,19.61
2018-09-30,54.7,$2.72,20.11
2018-06-30,58.6,$2.77,21.16
2017-12-31,49.25,$2.69,18.31
2017-09-30,45.7,$2.39,19.12
2017-06-30,39.05,$2.37,16.48
2017-03-31,40.6,$2.27,17.89
2016-12-31,38.45,$2.15,17.88
2016-09-30,31.87,$2.02,15.78
2016-06-30,39.97,$2.16,18.5
2016-03-31,33.61,$1.95,17.24
2015-12-31,31.05,$1.62,19.17
2015-09-30,30.01,$1.39,21.59
2015-06-30,31.59,$0.85,37.16
2014-12-31,19.6,$0.69,28.41
2014-09-30,15.7,$0.66,23.79
2014-06-30,12.3,$0.73,16.85
2014-03-31,13.74,$0.76,18.08
2013-12-31,14.7,$0.78,18.85
2015-03-31,23.07,$0.77,29.96
2013-09-30,13.76,$0.67,20.54
2013-06-30,14.32,$0.61,23.48
2013-03-31,15.83,$0.52,30.44
2012-12-31,11.55,$0.31,37.26
2012-09-30,10.06,$-0.51,0.0
2012-03-31,6.06,$-0.61,0.0
2011-12-31,4.43,$-0.65,0.0
2011-09-30,4.01,$-0.63,0.0
2011-06-30,8.32,$-1.44,0.0
2011-03-31,8.66,$-1.46,0.0
2010-12-31,6.14,$-1.49,0.0
2010-09-30,5.14,$-1.54,0.0
2010-06-30,7.48,$-0.06,0.0
2010-03-31,8.8,$-0.12,0.0
2009-12-31,9.06,$-0.01,0.0
2012-06-30,5.93,$-3.67,0.0
2009-09-30,9.51,$-2.80,0.0
