AnaptysBio PE Ratio Historical Data,AnaptysBio PE Ratio Historical Data,AnaptysBio PE Ratio Historical Data,AnaptysBio PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,35.18,,0.0
2024-06-30,25.06,$-6.35,0.0
2024-03-31,22.52,$-6.14,0.0
2023-12-31,21.42,$-6.08,0.0
2023-09-30,17.96,$-5.42,0.0
2023-06-30,20.34,$-5.19,0.0
2023-03-31,21.76,$-4.84,0.0
2022-12-31,30.99,$-4.57,0.0
2022-09-30,25.51,$-4.82,0.0
2022-06-30,20.3,$-3.88,0.0
2022-03-31,24.74,$-2.75,0.0
2021-12-31,34.75,$-2.10,0.0
2021-09-30,27.12,$0.28,96.86
2021-06-30,25.93,$-0.35,0.0
2021-03-31,21.55,$-1.12,0.0
2020-12-31,21.5,$-0.76,0.0
2020-09-30,14.75,$-2.71,0.0
2020-06-30,22.34,$-2.99,0.0
2020-03-31,14.13,$-3.09,0.0
2019-12-31,16.25,$-3.61,0.0
2019-09-30,34.99,$-3.50,0.0
2019-06-30,56.42,$-3.01,0.0
2019-03-31,73.05,$-2.69,0.0
2018-12-31,63.79,$-2.50,0.0
2018-09-30,99.77,$-2.16,0.0
2018-06-30,71.04,$-1.95,0.0
2018-03-31,104.08,$-1.51,0.0
2017-12-31,100.72,$-1.63,0.0
