First Bancshares PE Ratio Historical Data,First Bancshares PE Ratio Historical Data,First Bancshares PE Ratio Historical Data,First Bancshares PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,33.96,,14.21
2024-06-30,25.78,$2.39,10.79
2024-03-31,25.49,$2.52,10.12
2023-12-31,28.52,$2.39,11.93
2023-09-30,25.98,$2.71,9.59
2023-06-30,24.72,$2.55,9.69
2023-03-31,24.5,$2.56,9.57
2022-12-31,30.16,$2.85,10.58
2022-09-30,27.97,$2.93,9.55
2022-06-30,26.61,$3.08,8.64
2022-03-31,31.14,$3.06,10.18
2021-12-31,35.57,$3.04,11.7
2021-09-30,35.58,$3.01,11.82
2021-06-30,34.22,$2.80,12.22
2021-03-31,33.35,$2.85,11.7
2020-12-31,28.02,$2.50,11.21
2020-09-30,18.94,$2.42,7.83
2020-06-30,20.23,$2.58,7.84
2020-03-31,17.06,$2.48,6.88
2019-12-31,31.69,$2.52,12.58
2019-09-30,28.75,$2.36,12.18
2019-06-30,26.94,$2.04,13.21
2019-03-31,27.36,$1.75,15.64
2018-12-31,26.73,$1.61,16.6
2018-09-30,34.46,$1.36,25.34
2018-06-30,31.68,$1.48,21.41
2018-03-31,28.38,$1.34,21.18
2017-12-31,30.05,$1.12,26.83
2017-09-30,26.46,$1.15,23.01
2017-06-30,24.19,$1.09,22.19
2017-03-31,24.95,$1.30,19.19
2016-12-31,24.04,$1.64,14.66
2016-09-30,16.67,$1.80,9.26
2016-06-30,15.04,$1.74,8.64
2016-03-31,13.58,$1.66,8.18
2015-12-31,15.9,$1.56,10.19
2015-09-30,15.11,$1.50,10.07
2015-06-30,14.37,$1.38,10.41
2015-03-31,14.0,$1.28,10.94
2014-12-31,12.46,$1.17,10.65
2014-09-30,12.38,$1.08,11.46
2014-06-30,12.14,$1.00,12.14
2014-03-31,12.35,$0.89,13.88
2013-12-31,11.92,$0.99,12.04
2013-09-30,11.87,$1.06,11.2
2013-06-30,10.91,$1.11,9.83
2013-03-31,9.83,$1.23,7.99
2012-12-31,7.91,$1.16,6.82
2012-09-30,7.95,$1.10,7.23
2012-06-30,7.68,$1.07,7.18
2012-03-31,7.68,$0.96,8.0
2011-12-31,6.3,$0.82,7.68
2011-09-30,7.05,$0.76,9.28
2011-06-30,8.14,$0.73,11.15
2011-03-31,7.02,$0.73,9.61
2010-12-31,6.91,$0.74,9.33
2010-09-30,8.11,$0.69,11.75
2010-06-30,5.94,$0.74,8.02
2010-03-31,7.61,$0.58,13.13
2009-12-31,5.61,$0.48,11.69
