Winmark PE Ratio Historical Data,Winmark PE Ratio Historical Data,Winmark PE Ratio Historical Data,Winmark PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,382.02,,48.36
2024-09-30,382.93,$7.90,48.47
2024-06-30,351.76,$10.95,32.12
2024-03-31,359.95,$10.95,32.87
2023-12-31,414.64,$11.03,37.59
2023-09-30,362.19,$11.25,32.19
2023-06-30,322.03,$11.13,28.93
2023-03-31,309.61,$10.82,28.61
2022-12-31,227.3,$10.98,20.7
2022-09-30,205.44,$11.21,18.33
2022-06-30,185.13,$10.95,16.91
2022-03-31,207.56,$10.74,19.33
2021-12-31,233.78,$10.49,22.29
2021-09-30,196.35,$9.49,20.69
2021-06-30,175.01,$9.25,18.92
2021-03-31,169.47,$8.25,20.54
2020-12-31,168.66,$7.72,21.85
2020-09-30,153.35,$7.71,19.89
2020-06-30,152.28,$7.52,20.25
2020-03-31,113.27,$7.98,14.19
2019-12-31,176.07,$7.94,22.17
2019-09-30,156.39,$7.87,19.87
2019-06-30,153.29,$7.36,20.83
2018-12-31,140.43,$7.26,19.34
2018-09-30,146.46,$7.29,20.09
2018-06-30,130.85,$7.01,18.67
2018-03-31,115.16,$6.61,17.42
2017-12-31,113.83,$6.21,18.33
2019-03-31,166.72,$5.57,29.93
2017-09-30,115.8,$5.25,22.06
2017-06-30,113.24,$5.33,21.25
2017-03-31,99.15,$5.29,18.74
2016-12-31,110.59,$5.13,21.56
2016-09-30,92.42,$5.03,18.37
2016-06-30,87.21,$4.85,17.98
2016-03-31,85.64,$4.60,18.62
2015-12-31,81.23,$4.71,17.25
2015-09-30,89.82,$4.49,20.01
2015-06-30,85.91,$4.35,19.75
2015-03-31,76.32,$4.17,18.3
2014-12-31,75.69,$3.86,19.61
2014-09-30,63.96,$3.64,17.57
2014-06-30,60.54,$3.55,17.05
2014-03-31,65.73,$3.56,18.46
2013-12-31,75.8,$3.48,21.78
2013-09-30,60.28,$2.95,20.44
2013-06-30,53.02,$2.77,19.14
2013-03-31,51.44,$2.59,19.86
2012-12-31,46.52,$2.61,17.82
2012-09-30,44.1,$2.93,15.05
2012-06-30,47.71,$2.76,17.29
2011-12-31,43.4,$2.69,16.13
2011-09-30,34.94,$2.49,14.03
2011-06-30,32.74,$2.50,13.09
2011-03-31,34.83,$2.36,14.76
2010-12-31,25.38,$2.23,11.38
2012-03-31,47.18,$2.05,23.02
2010-09-30,25.22,$1.66,15.19
2010-06-30,25.22,$1.48,17.04
2010-03-31,17.44,$1.25,13.95
2009-12-31,16.18,$1.09,14.85
