Coupang PE Ratio Historical Data,Coupang PE Ratio Historical Data,Coupang PE Ratio Historical Data,Coupang PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,25.31,,43.64
2024-06-30,20.95,$0.58,36.12
2024-03-31,17.79,$0.70,25.41
2023-12-31,16.19,$0.75,21.59
2023-09-30,17.0,$0.24,70.83
2023-06-30,17.4,$0.24,72.5
2023-03-31,16.0,$0.12,133.33
2022-12-31,14.71,$-0.05,0.0
2022-09-30,16.67,$-0.34,0.0
2022-06-30,12.75,$-0.58,0.0
2022-03-31,17.68,$-0.84,0.0
2021-12-31,29.38,$-1.40,0.0
