Unifirst PE Ratio Historical Data,Unifirst PE Ratio Historical Data,Unifirst PE Ratio Historical Data,Unifirst PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,193.89,,28.31
2024-05-31,158.31,$6.85,23.11
2024-02-29,168.09,$6.11,27.51
2023-11-30,171.63,$5.97,28.75
2023-08-31,174.83,$5.52,31.67
2023-05-31,169.56,$5.44,31.17
2023-02-28,194.04,$5.48,35.41
2022-11-30,191.38,$5.50,34.8
2022-08-31,177.74,$5.46,32.55
2022-05-31,160.88,$5.89,27.31
2022-02-28,178.09,$6.77,26.31
2021-11-30,188.03,$7.51,25.04
2021-08-31,224.5,$7.94,28.28
2021-05-31,217.02,$7.78,27.89
2021-02-28,236.96,$6.69,35.42
2020-11-30,180.58,$6.80,26.56
2020-08-31,187.89,$7.12,26.39
2020-05-31,175.16,$7.86,22.28
2020-02-29,180.77,$9.20,19.65
2019-11-30,200.41,$9.86,20.33
2019-08-31,190.25,$9.33,20.39
2019-05-31,154.09,$8.74,17.63
2019-02-28,139.45,$8.13,17.15
2018-11-30,149.61,$8.50,17.6
2018-08-31,179.33,$8.18,21.92
2018-05-31,171.86,$6.13,28.04
2018-02-28,150.25,$5.47,27.47
2017-11-30,158.15,$4.36,36.27
2017-08-31,138.86,$4.18,33.22
2017-05-31,136.99,$5.58,24.55
2016-08-31,124.02,$6.17,20.1
2016-05-31,111.69,$5.86,19.06
2016-02-29,101.75,$5.75,17.7
2015-11-30,104.77,$6.20,16.9
2015-08-31,104.57,$5.68,18.41
2016-11-30,136.57,$6.10,22.39
2015-05-31,110.23,$6.15,17.92
2015-02-28,114.55,$6.07,18.87
2014-11-30,107.54,$6.08,17.69
2014-08-31,93.39,$5.94,15.72
2014-05-31,95.28,$6.03,15.8
2014-02-28,105.59,$5.93,17.81
2013-11-30,98.38,$5.99,16.42
2013-08-31,92.22,$5.82,15.85
2013-05-31,91.24,$5.43,16.8
2013-02-28,80.28,$5.37,14.95
2012-11-30,67.78,$5.00,13.56
2012-08-31,60.96,$4.76,12.81
2012-05-31,54.89,$4.53,12.12
2012-02-29,57.59,$4.09,14.08
2011-11-30,55.4,$3.95,14.02
2011-08-31,49.56,$3.85,12.87
2011-05-31,51.28,$3.82,13.42
2011-02-28,53.9,$3.87,13.93
2010-11-30,48.96,$3.88,12.62
2010-08-31,37.46,$3.56,10.52
2010-05-31,42.89,$3.81,11.26
2010-02-28,50.06,$3.77,13.28
2009-08-31,37.92,$4.15,9.14
2009-05-31,32.43,$4.37,7.42
