SK Telecom PE Ratio Historical Data,SK Telecom PE Ratio Historical Data,SK Telecom PE Ratio Historical Data,SK Telecom PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,22.67,,17.85
2024-03-31,21.22,$1.27,16.71
2023-12-31,20.74,$0.70,29.63
2023-09-30,20.39,$0.44,46.35
2023-06-30,18.24,$0.41,44.5
2023-03-31,18.84,$0.38,49.58
2022-12-31,18.6,$0.36,51.66
2022-09-30,17.11,$0.40,42.78
2022-06-30,19.47,$2.04,9.55
2022-03-31,22.02,$3.68,5.98
2021-12-31,22.59,$4.88,4.63
2021-09-30,41.99,$5.60,7.5
2021-06-30,43.47,$4.64,9.36
2021-03-31,37.4,$3.77,9.92
2020-12-31,33.62,$3.13,10.75
2020-09-30,29.7,$2.60,11.42
2020-06-30,25.6,$2.68,9.54
2020-03-31,21.45,$2.95,7.28
2019-09-30,28.27,$4.71,6.0
2019-03-31,31.07,$6.59,4.72
2018-12-31,34.0,$7.41,4.59
2018-09-30,34.26,$7.62,4.49
2018-06-30,28.66,$7.03,4.08
2018-03-31,29.57,$6.24,4.74
2017-12-31,34.15,$5.88,5.81
2017-09-30,29.11,$5.66,5.14
2017-06-30,30.39,$4.61,6.59
2017-03-31,29.69,$3.84,7.74
2016-12-31,24.65,$3.64,6.77
2016-09-30,25.57,$3.21,7.97
2016-06-30,23.67,$3.33,7.12
2016-03-31,22.71,$3.59,6.33
2015-12-31,22.69,$3.54,6.41
2015-09-30,26.36,$3.97,6.64
2015-06-30,26.78,$3.84,6.98
2015-03-31,29.29,$4.17,7.03
2014-12-31,29.07,$3.79,7.68
2014-09-30,32.65,$3.39,9.63
2014-06-30,27.92,$3.82,7.31
2014-03-31,24.29,$3.70,6.56
2013-12-31,26.5,$3.89,6.82
2013-09-30,23.77,$3.14,7.56
2013-06-30,21.29,$2.39,8.92
2013-03-31,18.62,$1.60,11.66
2012-12-31,16.49,$1.42,11.65
2012-09-30,14.38,$1.42,10.16
2012-06-30,11.97,$1.83,6.55
2012-03-31,13.7,$2.62,5.23
2011-12-31,13.4,$3.16,4.24
2011-09-30,13.24,$3.16,4.19
2011-06-30,17.6,$3.08,5.72
2011-03-31,17.63,$2.68,6.57
2010-12-31,17.46,$1.99,8.76
2010-06-30,13.33,$2.86,4.65
2010-03-31,15.55,$2.73,5.69
2009-12-31,14.65,$2.72,5.39
