Charles Schwab PE Ratio Historical Data,Charles Schwab PE Ratio Historical Data,Charles Schwab PE Ratio Historical Data,Charles Schwab PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,65.1,,27.01
2024-06-30,73.4,$2.41,30.45
2024-03-31,71.81,$2.39,30.05
2023-12-31,68.03,$2.54,26.78
2023-09-30,54.03,$3.00,18.01
2023-06-30,55.57,$3.43,16.2
2023-03-31,51.09,$3.66,13.96
2022-12-31,80.95,$3.50,23.13
2022-09-30,69.68,$3.29,21.18
2022-06-30,61.07,$3.04,20.09
2022-03-31,81.24,$2.76,29.44
2021-12-31,80.87,$2.66,30.4
2021-09-30,69.88,$2.38,29.36
2021-06-30,69.69,$2.12,32.87
2020-12-31,50.48,$2.11,23.92
2020-09-30,34.34,$2.16,15.9
2020-06-30,31.81,$2.41,13.2
2020-03-31,31.53,$2.63,11.99
2019-12-31,44.44,$2.71,16.4
2021-03-31,62.23,$2.78,22.38
2019-09-30,38.93,$2.70,14.42
2019-06-30,37.24,$2.65,14.05
2019-03-31,39.47,$2.59,15.24
2018-12-31,38.19,$2.45,15.59
2018-09-30,45.08,$2.21,20.4
2018-06-30,46.74,$1.98,23.61
2018-03-31,47.69,$1.77,26.94
2017-12-31,46.82,$1.61,29.08
2017-09-30,39.79,$1.56,25.51
2017-06-30,39.01,$1.49,26.18
2017-03-31,36.98,$1.40,26.41
2016-12-31,35.69,$1.30,27.46
2016-09-30,28.49,$1.22,23.35
2016-06-30,22.79,$1.15,19.82
2016-03-31,25.16,$1.10,22.88
2015-12-31,29.5,$1.03,28.64
2015-09-30,25.53,$1.00,25.53
2015-06-30,29.14,$0.96,30.35
2015-03-31,27.11,$0.94,28.85
2014-12-31,26.83,$0.95,28.25
2014-09-30,26.07,$0.92,28.34
2014-06-30,23.84,$0.86,27.72
2013-12-31,22.9,$0.78,29.36
2013-09-30,18.57,$0.70,26.53
2013-06-30,18.6,$0.72,25.84
2013-03-31,15.45,$0.73,21.16
2012-12-31,12.49,$0.78,16.02
2014-03-31,24.13,$0.78,30.94
2012-09-30,11.07,$0.67,16.53
2012-06-30,11.15,$0.66,16.89
2012-03-31,12.33,$0.66,18.69
2011-12-31,9.62,$0.71,13.55
2011-09-30,9.58,$0.68,14.09
2011-06-30,13.92,$0.60,23.2
2011-03-31,15.2,$0.57,26.67
2010-12-31,14.38,$0.47,30.6
2010-09-30,11.64,$0.51,22.82
2010-06-30,11.82,$0.58,20.39
2010-03-31,15.54,$0.59,26.33
2009-12-31,15.59,$0.68,22.93
