Avery Dennison PE Ratio Historical Data,Avery Dennison PE Ratio Historical Data,Avery Dennison PE Ratio Historical Data,Avery Dennison PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,221.85,,28.48
2024-06-30,218.65,$7.79,28.07
2024-03-31,223.25,$6.85,32.59
2023-12-31,201.41,$6.21,32.43
2023-09-30,181.23,$5.95,30.46
2023-06-30,169.7,$6.94,24.45
2023-03-31,175.89,$8.31,21.17
2022-12-31,177.2,$9.21,19.24
2022-09-30,158.66,$9.89,16.04
2022-06-30,157.2,$9.15,17.18
2022-03-31,168.22,$8.73,19.27
2021-12-31,208.57,$8.84,23.59
2021-09-30,198.89,$8.93,22.27
2021-06-30,201.2,$8.76,22.97
2021-03-31,175.21,$7.52,23.3
2020-12-31,147.47,$6.62,22.28
2020-09-30,121.05,$6.26,19.34
2020-06-30,107.5,$6.18,17.39
2020-03-31,95.51,$6.92,13.8
2019-12-31,122.05,$3.58,34.09
2019-09-30,105.48,$2.77,38.08
2019-06-30,106.89,$2.75,38.87
2019-03-31,103.85,$2.13,48.76
2018-12-31,82.56,$3.21,25.72
2018-09-30,99.58,$3.30,30.18
2018-06-30,93.37,$2.95,31.65
2017-12-31,104.12,$3.13,33.27
2017-09-30,88.79,$4.48,19.82
2017-06-30,79.41,$4.68,16.97
2017-03-31,72.05,$4.32,16.68
2016-12-31,62.45,$3.95,15.81
2018-03-31,96.69,$4.24,22.81
2016-09-30,68.79,$3.46,19.88
2016-06-30,65.76,$3.36,19.57
2016-03-31,63.09,$3.16,19.97
2015-12-31,54.51,$2.95,18.48
2015-09-30,48.94,$3.09,15.84
2015-06-30,52.39,$2.89,18.13
2015-03-31,45.21,$2.65,17.06
2014-12-31,44.05,$2.61,16.88
2014-09-30,37.64,$2.28,16.51
2014-06-30,42.89,$1.97,21.77
2014-03-31,42.11,$2.21,19.06
2013-12-31,41.47,$2.05,20.23
2013-09-30,35.75,$2.10,17.02
2013-06-30,34.89,$2.30,15.17
2013-03-31,34.91,$2.24,15.58
2012-12-31,28.12,$2.08,13.52
2012-09-30,25.41,$1.81,14.04
2012-06-30,21.65,$1.71,12.66
2012-03-31,23.63,$1.78,13.27
2011-12-31,22.28,$1.79,12.45
2011-09-30,19.31,$2.64,7.31
2011-06-30,29.47,$2.77,10.64
2011-03-31,31.82,$2.86,11.13
2010-12-31,31.91,$2.95,10.82
2010-09-30,27.83,$2.36,11.79
2010-06-30,23.94,$2.35,10.19
2010-03-31,26.97,$1.95,13.83
2009-12-31,26.86,$0.98,27.41
