Middlesex Water PE Ratio Historical Data,Middlesex Water PE Ratio Historical Data,Middlesex Water PE Ratio Historical Data,Middlesex Water PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,65.93,,32.0
2024-06-30,51.98,$2.06,25.23
2024-03-31,51.93,$2.02,25.71
2023-12-31,64.52,$1.76,36.66
2023-09-30,64.82,$1.84,35.23
2023-06-30,78.61,$2.08,37.79
2023-03-31,75.81,$2.03,37.34
2022-12-31,76.06,$2.38,31.96
2022-09-30,74.39,$2.39,31.13
2022-06-30,84.22,$2.24,37.6
2022-03-31,100.7,$2.36,42.67
2021-12-31,114.84,$2.07,55.48
2021-09-30,97.84,$2.13,45.94
2021-06-30,77.61,$2.20,35.28
2021-03-31,74.78,$2.13,35.11
2020-12-31,68.35,$2.18,31.35
2020-09-30,58.39,$2.17,26.91
2020-06-30,62.88,$2.11,29.8
2020-03-31,56.03,$2.05,27.33
2019-12-31,59.03,$2.00,29.51
2019-09-30,60.06,$1.97,30.49
2019-06-30,54.78,$2.05,26.72
2019-03-31,51.57,$2.08,24.79
2018-12-31,48.92,$1.96,24.96
2018-09-30,44.18,$1.85,23.88
2018-06-30,38.3,$1.57,24.39
2018-03-31,33.15,$1.38,24.02
2017-12-31,35.83,$1.38,25.96
2017-09-30,35.08,$1.25,28.06
2017-06-30,35.18,$1.33,26.45
2017-03-31,32.62,$1.36,23.99
2016-12-31,37.68,$1.38,27.31
2016-09-30,30.74,$1.47,20.91
2016-06-30,37.65,$1.34,28.09
2016-03-31,26.63,$1.29,20.64
2015-12-31,22.75,$1.22,18.65
2015-09-30,20.27,$1.16,17.48
2015-06-30,19.03,$1.17,16.26
2015-03-31,19.03,$1.15,16.55
2014-12-31,19.11,$1.12,17.07
2014-09-30,16.11,$1.09,14.78
2014-06-30,17.25,$1.03,16.75
2014-03-31,17.6,$1.02,17.26
2013-12-31,16.73,$1.03,16.25
2013-09-30,16.94,$1.01,16.77
2013-06-30,15.64,$1.03,15.18
2013-03-31,15.18,$0.98,15.49
2012-12-31,15.07,$0.89,16.93
2012-09-30,14.61,$0.84,17.39
2012-06-30,14.35,$0.78,18.39
2012-03-31,14.12,$0.78,18.1
2011-12-31,13.81,$0.84,16.44
2011-09-30,12.51,$0.88,14.22
2011-06-30,13.48,$0.92,14.65
2011-03-31,13.07,$1.00,13.07
2010-12-31,13.06,$0.94,13.89
2010-09-30,11.86,$0.90,13.18
2010-06-30,11.04,$0.83,13.31
2010-03-31,11.77,$0.73,16.12
2009-12-31,12.03,$0.72,16.71
