Beam Therapeutics PE Ratio Historical Data,Beam Therapeutics PE Ratio Historical Data,Beam Therapeutics PE Ratio Historical Data,Beam Therapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,24.35,,0.0
2024-06-30,23.43,$-1.81,0.0
2024-03-31,33.04,$-1.78,0.0
2023-12-31,27.22,$-1.90,0.0
2023-09-30,24.05,$-4.17,0.0
2023-06-30,31.93,$-4.51,0.0
2023-03-31,30.62,$-4.45,0.0
2022-12-31,39.11,$-4.13,0.0
2022-09-30,47.64,$-4.54,0.0
2022-06-30,38.71,$-3.40,0.0
2022-03-31,57.3,$-3.61,0.0
2021-12-31,79.69,$-5.95,0.0
2021-09-30,87.01,$-6.69,0.0
2021-06-30,128.71,$-6.96,0.0
2021-03-31,80.04,$-6.42,0.0
2020-12-31,81.64,$-4.10,0.0
