FedEx PE Ratio Historical Data,FedEx PE Ratio Historical Data,FedEx PE Ratio Historical Data,FedEx PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,298.77,,17.34
2024-05-31,252.6,$17.23,14.66
2024-02-29,246.38,$17.34,14.21
2023-11-30,254.96,$16.88,15.1
2023-08-31,255.85,$16.40,15.6
2023-05-31,212.46,$15.50,13.71
2023-02-28,196.95,$11.58,17.01
2022-11-30,175.43,$12.73,13.78
2022-08-31,201.86,$13.54,14.91
2022-05-31,214.03,$14.30,14.97
2022-02-28,211.09,$19.05,11.08
2021-11-30,218.12,$18.15,12.02
2021-08-31,250.86,$18.82,13.33
2021-05-31,296.47,$19.45,15.24
2021-02-28,239.07,$11.29,21.18
2020-11-30,268.6,$9.19,29.23
2020-08-31,205.45,$6.77,30.35
2020-05-31,121.4,$-5.51,0.0
2020-02-29,130.61,$-1.43,0.0
2019-11-30,147.46,$0.88,167.57
2019-05-31,141.02,$1.85,76.23
2019-02-28,164.82,$13.56,12.16
2018-11-30,207.86,$13.60,15.28
2018-08-31,220.85,$17.68,12.49
2018-05-31,224.92,$17.42,12.91
2019-08-31,145.55,$15.46,9.41
2018-02-28,222.03,$16.37,13.56
2017-11-30,208.12,$10.85,19.18
2017-08-31,192.31,$10.60,18.14
2017-05-31,173.47,$11.06,15.68
2017-02-28,172.34,$7.05,24.45
2016-11-30,170.82,$6.82,25.05
2016-08-31,146.64,$6.67,21.98
2016-05-31,146.31,$6.44,22.72
2016-02-29,121.18,$3.54,34.23
2015-11-30,140.12,$3.71,37.77
2015-08-31,132.89,$3.41,38.97
2015-05-31,152.63,$3.09,49.4
2015-02-28,155.77,$8.71,17.88
2014-11-30,156.65,$7.93,19.75
2014-08-31,129.84,$7.36,17.64
2014-05-31,126.39,$6.79,18.61
2014-02-28,116.77,$5.28,22.12
2013-11-30,121.34,$5.18,23.42
2013-08-31,93.79,$5.00,18.76
2013-05-31,84.04,$5.20,16.16
2013-02-28,91.85,$5.90,15.57
2012-11-30,78.0,$6.34,12.3
2012-05-31,77.28,$6.41,12.06
2012-02-29,77.91,$6.43,12.12
2011-11-30,71.81,$6.23,11.53
2011-08-31,67.93,$5.39,12.6
2011-05-31,80.68,$4.82,16.74
2012-08-31,76.1,$4.27,17.82
2011-02-28,77.45,$4.15,18.66
2010-11-30,78.4,$4.18,18.76
2010-08-31,66.97,$4.39,15.25
2010-05-31,71.53,$3.77,18.97
2010-02-28,72.53,$-0.38,0.0
2009-11-30,72.17,$-0.83,0.0
