Elevance Health PE Ratio Historical Data,Elevance Health PE Ratio Historical Data,Elevance Health PE Ratio Historical Data,Elevance Health PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,556.89,,19.53
2024-06-30,541.86,$28.52,19.0
2024-03-31,516.97,$26.46,19.54
2023-12-31,468.61,$25.17,18.62
2023-09-30,431.37,$25.47,16.94
2023-06-30,438.72,$26.70,16.43
2023-03-31,452.6,$25.70,17.61
2022-12-31,503.31,$24.79,20.3
2022-09-30,444.6,$25.49,17.44
2022-06-30,471.11,$24.94,18.89
2022-03-31,478.28,$25.40,18.83
2021-12-31,450.09,$24.72,18.21
2021-09-30,360.97,$22.28,16.2
2021-06-30,368.56,$17.02,21.65
2021-03-31,345.49,$18.68,18.5
2020-12-31,308.01,$17.91,17.2
2020-09-30,256.89,$19.34,13.28
2020-06-30,250.63,$23.02,10.89
2020-03-31,215.68,$18.47,11.68
2019-12-31,285.91,$18.44,15.5
2019-09-30,226.65,$16.43,13.8
2019-06-30,265.56,$15.50,17.13
2019-03-31,269.27,$15.12,17.81
2018-12-31,245.78,$14.20,17.31
2018-09-30,256.46,$17.26,14.86
2018-06-30,222.14,$16.44,13.51
2018-03-31,204.37,$15.62,13.08
2017-12-31,208.62,$14.36,14.53
2017-09-30,175.51,$11.06,15.87
2017-06-30,173.26,$10.56,16.41
2017-03-31,151.78,$10.31,14.72
2016-12-31,131.43,$9.21,14.27
2016-09-30,114.05,$8.52,13.39
2016-06-30,118.92,$8.65,13.75
2016-03-31,125.24,$8.87,14.12
2015-12-31,125.03,$9.33,13.4
2015-09-30,124.95,$10.45,11.96
2015-06-30,145.87,$10.24,14.25
2015-03-31,136.69,$9.67,14.14
2014-12-31,110.78,$8.98,12.34
2014-09-30,105.09,$7.67,13.7
2014-06-30,94.19,$7.61,12.38
2014-03-31,86.77,$7.69,11.28
2013-12-31,80.15,$8.18,9.8
2013-09-30,72.23,$9.20,7.85
2013-06-30,70.4,$9.19,7.66
2013-03-31,56.69,$8.49,6.68
2012-12-31,51.84,$8.13,6.38
2012-09-30,49.11,$7.58,6.48
2012-06-30,53.74,$7.33,7.33
2012-03-31,61.91,$7.28,8.5
2011-12-31,55.33,$7.19,7.7
2011-09-30,54.32,$7.63,7.12
2011-06-30,65.29,$7.57,8.62
2011-03-31,57.66,$7.39,7.8
2010-12-31,46.8,$6.91,6.77
2010-09-30,46.62,$11.46,4.07
2010-06-30,40.28,$11.15,3.61
2010-03-31,52.99,$10.87,4.88
2009-12-31,47.98,$10.07,4.76
