Mercury Systems Inc PE Ratio Historical Data,Mercury Systems Inc PE Ratio Historical Data,Mercury Systems Inc PE Ratio Historical Data,Mercury Systems Inc PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,34.39,,0.0
2024-06-30,26.99,$-2.39,0.0
2024-03-31,29.5,$-2.35,0.0
2023-12-31,36.57,$-1.49,0.0
2023-09-30,37.09,$-0.89,0.0
2023-06-30,34.59,$-0.51,0.0
2023-03-31,51.12,$-0.06,0.0
2022-12-31,44.74,$-0.08,0.0
2022-09-30,40.6,$0.06,676.67
2022-06-30,64.33,$0.19,338.58
2022-03-31,64.45,$0.21,306.9
2021-12-31,55.06,$0.42,131.1
2021-09-30,47.42,$0.70,67.74
2021-06-30,66.28,$1.12,59.18
2021-03-31,70.65,$1.29,54.77
2020-12-31,88.06,$1.44,61.15
2020-09-30,77.46,$1.50,51.64
2020-06-30,78.66,$1.56,50.42
2020-03-31,71.34,$1.32,54.05
2019-12-31,69.11,$1.18,58.57
2019-09-30,81.17,$1.15,70.58
2019-06-30,70.35,$0.96,73.28
2019-03-31,64.08,$0.92,69.65
2018-12-31,47.29,$0.82,57.67
2018-09-30,55.32,$0.94,58.85
2018-06-30,38.06,$0.97,39.24
2017-12-31,51.35,$0.92,55.82
2017-09-30,51.88,$0.86,60.33
2017-06-30,42.09,$0.58,72.57
2017-03-31,39.05,$0.61,64.02
2016-12-31,30.22,$0.58,52.1
2016-09-30,24.57,$0.59,41.64
2016-06-30,24.86,$0.55,45.2
2016-03-31,20.3,$0.51,39.8
2015-12-31,18.36,$0.49,37.47
2015-09-30,15.91,$0.36,44.19
2015-06-30,14.64,$0.32,45.75
2015-03-31,15.55,$-0.10,0.0
2014-12-31,13.92,$-0.23,0.0
2014-09-30,11.01,$-0.27,0.0
2014-06-30,11.34,$-0.36,0.0
2014-03-31,13.21,$-0.19,0.0
2013-12-31,10.95,$-0.14,0.0
2013-09-30,9.99,$-0.27,0.0
2013-06-30,9.22,$-0.44,0.0
2013-03-31,7.37,$-0.18,0.0
2012-12-31,9.2,$-0.04,0.0
2012-09-30,10.62,$0.42,25.29
2012-06-30,12.93,$0.75,17.24
2012-03-31,13.25,$0.70,18.93
2011-12-31,13.29,$0.73,18.21
2011-09-30,11.5,$0.65,17.69
2011-06-30,18.68,$0.72,25.94
2011-03-31,21.16,$1.38,15.33
2010-12-31,18.38,$1.32,13.92
2010-09-30,12.03,$1.21,9.94
2010-06-30,11.73,$1.24,9.46
2010-03-31,13.72,$0.84,16.33
2009-12-31,11.01,$1.06,10.39
2009-09-30,9.86,$1.03,9.57
