Motorola Solutions PE Ratio Historical Data,Motorola Solutions PE Ratio Historical Data,Motorola Solutions PE Ratio Historical Data,Motorola Solutions PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,442.04,,51.76
2024-06-30,386.05,$8.54,45.2
2024-03-31,354.06,$8.09,43.76
2023-12-31,311.38,$9.93,31.36
2023-09-30,269.92,$9.89,27.29
2023-06-30,289.88,$8.82,32.87
2023-03-31,281.93,$8.00,35.24
2022-12-31,253.09,$7.93,31.92
2022-09-30,219.23,$6.80,32.24
2022-06-30,204.49,$6.93,29.51
2022-03-31,235.39,$7.29,32.29
2021-12-31,263.11,$7.16,36.75
2021-09-30,224.29,$7.23,31.02
2021-06-30,208.74,$6.65,31.39
2021-03-31,180.41,$5.74,31.43
2020-12-31,162.51,$5.45,29.82
2020-09-30,149.21,$4.47,33.38
2020-06-30,132.79,$4.80,27.66
2020-03-31,125.39,$5.20,24.11
2019-12-31,151.32,$4.94,30.63
2019-09-30,159.4,$5.99,26.61
2019-06-30,155.42,$5.91,26.3
2019-03-31,130.43,$5.78,22.57
2018-12-31,106.42,$5.61,18.97
2018-09-30,119.86,$-0.39,0.0
2018-06-30,106.74,$-0.57,0.0
2018-03-31,96.15,$-0.84,0.0
2017-12-31,82.1,$-1.08,0.0
2017-09-30,76.69,$3.91,19.61
2017-06-30,77.95,$3.79,20.57
2017-03-31,77.06,$3.62,21.29
2016-12-31,73.66,$3.27,22.53
2016-09-30,67.41,$3.41,19.77
2016-06-30,57.98,$2.85,20.35
2016-03-31,66.13,$2.92,22.65
2015-12-31,59.45,$3.16,18.81
2015-09-30,59.04,$2.46,24.0
2015-06-30,49.26,$2.48,19.86
2015-03-31,56.94,$5.02,11.34
2014-12-31,57.0,$5.17,11.02
2014-09-30,53.48,$5.61,9.53
2014-06-30,55.95,$6.18,9.05
2014-03-31,53.78,$3.90,13.79
2013-12-31,56.2,$4.09,13.74
2013-09-30,49.21,$3.96,12.43
2013-06-30,47.58,$3.52,13.52
2013-03-31,52.53,$3.19,16.47
2012-12-31,45.49,$3.00,15.16
2012-09-30,41.1,$2.38,17.27
2012-06-30,38.91,$2.04,19.08
2012-03-31,40.92,$2.43,16.84
2011-12-31,37.11,$3.38,10.98
2011-09-30,33.43,$3.68,9.08
2011-06-30,36.54,$5.61,6.51
2011-03-31,35.47,$5.10,6.95
2010-12-31,29.1,$5.13,5.67
2010-09-30,27.36,$4.69,5.83
2010-06-30,20.92,$2.45,8.54
2010-03-31,22.52,$2.03,11.09
2009-12-31,24.89,$-0.14,0.0
