ABM Industries PE Ratio Historical Data,ABM Industries PE Ratio Historical Data,ABM Industries PE Ratio Historical Data,ABM Industries PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,54.33,,17.03
2024-07-31,55.32,$3.19,17.34
2024-04-30,43.31,$3.90,11.11
2023-10-31,38.59,$3.79,10.18
2023-07-31,45.16,$3.56,12.68
2023-04-30,41.33,$2.79,14.81
2023-01-31,45.3,$2.86,15.84
2022-10-31,42.78,$3.00,14.26
2024-01-31,40.22,$3.38,11.9
2022-07-31,42.89,$3.18,13.49
2022-04-30,45.96,$2.13,21.58
2022-01-31,39.53,$1.87,21.14
2021-10-31,41.54,$1.86,22.33
2021-07-31,43.7,$2.14,20.42
2021-04-30,48.12,$3.17,15.18
2021-01-31,34.26,$0.66,51.91
2020-10-31,32.23,$-0.02,0.0
2020-07-31,33.16,$-0.09,0.0
2020-04-30,31.69,$-0.37,0.0
2020-01-31,34.77,$2.13,16.32
2019-10-31,33.08,$1.90,17.41
2019-07-31,37.98,$1.34,28.34
2019-04-30,34.11,$1.30,26.24
2019-01-31,30.57,$1.25,24.45
2018-10-31,27.33,$1.48,18.47
2018-07-31,27.58,$1.27,21.72
2018-04-30,27.36,$1.34,20.42
2018-01-31,33.25,$1.49,22.31
2017-10-31,36.52,$0.07,521.77
2017-07-31,38.68,$0.27,143.25
2017-04-30,37.29,$0.24,155.36
2017-01-31,34.73,$-0.23,0.0
2016-10-31,33.46,$1.01,33.13
2016-07-31,31.73,$1.55,20.47
2016-04-30,27.31,$1.03,26.51
2016-01-31,25.36,$1.27,19.97
2015-10-31,23.84,$1.34,17.79
2015-07-31,27.51,$1.15,23.92
2015-04-30,26.62,$1.46,18.23
2015-01-31,23.86,$1.41,16.92
2014-10-31,22.72,$1.33,17.08
2014-07-31,20.11,$1.27,15.83
2014-04-30,22.01,$1.22,18.04
2014-01-31,21.54,$1.30,16.57
2013-10-31,22.11,$1.31,16.88
2013-07-31,20.7,$1.38,15.0
2013-04-30,17.91,$1.32,13.57
2013-01-31,17.29,$1.18,14.65
2012-10-31,14.88,$1.14,13.05
2012-07-31,14.46,$0.97,14.9
2012-04-30,17.96,$1.25,14.37
2012-01-31,16.64,$1.30,12.8
2011-10-31,15.4,$1.26,12.22
2011-07-31,17.01,$1.34,12.69
2011-04-30,18.27,$1.23,14.86
2011-01-31,19.21,$1.13,17.0
2010-10-31,16.76,$1.21,13.85
2010-07-31,16.03,$1.09,14.71
2010-04-30,15.78,$0.93,16.96
2010-01-31,14.16,$1.02,13.89
2009-10-31,13.61,$1.06,12.84
