Lear PE Ratio Historical Data,Lear PE Ratio Historical Data,Lear PE Ratio Historical Data,Lear PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,105.96,,11.33
2024-06-30,113.44,$9.35,12.13
2024-03-31,143.91,$9.17,15.69
2023-12-31,139.51,$9.68,14.41
2023-09-30,131.83,$9.47,13.92
2023-06-30,140.27,$8.76,16.01
2023-03-31,135.53,$7.06,19.2
2022-12-31,119.83,$5.47,21.91
2022-09-30,114.99,$3.86,29.79
2022-06-30,120.28,$1.88,63.98
2022-03-31,135.49,$3.63,37.33
2021-12-31,172.88,$6.17,28.02
2021-09-30,147.25,$9.14,16.11
2021-06-30,164.42,$12.47,13.19
2021-03-31,169.8,$4.69,36.2
2020-12-31,148.77,$2.59,57.44
2020-09-30,101.85,$1.76,57.87
2020-06-30,101.82,$2.45,41.56
2020-03-31,75.89,$10.26,7.4
2019-12-31,127.26,$12.73,10.0
2019-09-30,108.68,$13.62,7.98
2019-06-30,127.48,$13.84,9.21
2019-03-31,123.52,$15.75,7.84
2018-12-31,111.27,$17.18,6.48
2018-09-30,130.64,$19.59,6.67
2018-06-30,166.7,$19.75,8.44
2018-03-31,166.38,$19.41,8.57
2017-12-31,157.36,$18.60,8.46
2017-09-30,153.74,$16.04,9.58
2017-06-30,125.77,$15.06,8.35
2017-03-31,124.91,$14.39,8.68
2016-12-31,116.38,$13.33,8.73
2016-09-30,106.35,$13.16,8.08
2016-06-30,89.04,$12.52,7.11
2016-03-31,97.03,$11.03,8.8
2015-12-31,106.89,$9.60,11.13
2015-09-30,94.47,$9.77,9.67
2015-06-30,97.26,$9.15,10.63
2015-03-31,95.8,$8.63,11.1
2014-12-31,84.6,$8.24,10.27
2014-09-30,74.38,$5.88,12.65
2014-06-30,76.73,$5.54,13.85
2014-03-31,71.76,$5.33,13.46
2013-12-31,69.24,$4.99,13.87
2013-09-30,61.07,$13.11,4.66
2013-06-30,51.47,$12.96,3.97
2013-03-31,46.57,$12.81,3.64
2012-12-31,39.63,$13.00,3.05
2012-09-30,31.87,$5.02,6.35
2012-06-30,31.71,$4.74,6.69
2012-03-31,38.92,$4.94,7.88
2011-12-31,33.22,$5.06,6.56
2011-09-30,35.7,$5.12,6.97
2011-06-30,44.39,$5.05,8.79
2011-03-31,40.46,$4.88,8.29
2010-12-31,40.76,$4.05,10.06
2010-09-30,32.59,$10.92,2.99
