United Airlines Holdings Inc PE Ratio Historical Data,United Airlines Holdings Inc PE Ratio Historical Data,United Airlines Holdings Inc PE Ratio Historical Data,United Airlines Holdings Inc PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,44.04,,5.0
2024-06-30,48.66,$8.81,5.52
2024-03-31,47.88,$8.09,5.92
2023-12-31,41.26,$7.88,5.24
2023-09-30,42.3,$8.62,4.91
2023-06-30,54.87,$8.06,6.81
2023-03-31,44.25,$5.82,7.6
2022-12-31,37.7,$2.17,17.37
2022-09-30,32.53,$-2.37,0.0
2022-06-30,35.42,$-3.79,0.0
2022-03-31,46.36,$-6.13,0.0
2021-12-31,43.78,$-6.18,0.0
2021-09-30,47.57,$-10.58,0.0
2021-06-30,52.29,$-18.35,0.0
2021-03-31,57.54,$-22.80,0.0
2020-12-31,43.25,$-15.98,0.0
2020-09-30,34.75,$-5.60,0.0
2020-06-30,34.61,$4.75,7.29
2019-12-31,88.09,$11.63,7.57
2019-09-30,88.41,$10.80,8.19
2019-06-30,87.55,$-0.05,0.0
2019-03-31,79.78,$-1.01,0.0
2018-12-31,83.73,$0.38,220.34
2020-03-31,31.55,$-0.80,0.0
2018-09-30,89.06,$8.05,11.06
2018-06-30,69.73,$7.11,9.81
2018-03-31,69.47,$7.29,9.53
2017-12-31,67.4,$7.07,9.53
2017-09-30,60.88,$6.34,9.6
2017-06-30,75.25,$7.23,10.41
2017-03-31,70.64,$6.35,11.12
2016-12-31,72.88,$6.93,10.52
2016-09-30,52.47,$7.91,6.63
2016-06-30,41.04,$17.72,2.32
2016-03-31,59.86,$19.08,3.14
2015-12-31,57.3,$19.52,2.94
2015-09-30,53.05,$17.35,3.06
2015-06-30,53.01,$6.90,7.68
2015-03-31,67.25,$5.77,11.66
2014-12-31,66.89,$2.79,23.97
2014-09-30,46.79,$3.09,15.14
2014-06-30,41.07,$1.70,24.16
2014-03-31,44.63,$0.90,49.59
2013-12-31,37.83,$1.30,29.1
2013-09-30,30.71,$-0.94,0.0
2013-06-30,31.29,$-1.90,0.0
2013-03-31,32.01,$-2.22,0.0
2012-12-31,23.38,$-1.38,0.0
2012-09-30,19.5,$2.16,9.03
2012-06-30,24.33,$3.53,6.89
2011-12-31,18.87,$1.99,9.48
2011-09-30,19.38,$1.40,13.84
2011-06-30,22.63,$1.48,15.29
2011-03-31,22.99,$1.38,16.66
2010-12-31,23.82,$1.54,15.47
2010-09-30,23.66,$1.11,21.32
2010-06-30,20.56,$-1.03,0.0
2010-03-31,19.55,$-2.13,0.0
2009-12-31,12.91,$-4.28,0.0
2009-09-30,9.22,$-4.20,0.0
