S&T Bancorp PE Ratio Historical Data,S&T Bancorp PE Ratio Historical Data,S&T Bancorp PE Ratio Historical Data,S&T Bancorp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,41.33,,15.54
2024-09-30,41.97,$2.66,15.78
2024-06-30,33.12,$3.53,9.38
2024-03-31,31.49,$3.53,8.92
2023-12-31,32.46,$3.74,8.68
2023-09-30,25.99,$3.81,6.82
2023-06-30,25.83,$3.89,6.64
2023-03-31,29.51,$3.74,7.89
2022-12-31,31.8,$3.47,9.16
2022-09-30,27.04,$3.01,8.98
2022-06-30,25.06,$2.76,9.08
2022-03-31,26.74,$2.74,9.76
2021-12-31,28.24,$2.80,10.08
2021-09-30,26.16,$2.85,9.18
2021-06-30,27.52,$2.58,10.67
2021-03-31,29.21,$1.01,28.92
2020-12-31,21.44,$0.54,39.71
2020-09-30,15.05,$0.54,27.87
2020-06-30,19.7,$0.90,21.89
2020-03-31,22.67,$2.51,9.03
2019-12-31,33.19,$2.83,11.73
2019-09-30,29.88,$2.98,10.03
2019-06-30,30.44,$3.07,9.91
2019-03-31,31.89,$2.92,10.92
2018-12-31,30.32,$3.01,10.07
2018-09-30,34.51,$2.51,13.75
2018-06-30,34.22,$2.28,15.01
2018-03-31,31.43,$2.32,13.55
2017-12-31,31.15,$2.09,14.9
2017-09-30,30.8,$2.33,13.22
2017-06-30,27.76,$2.27,12.23
2017-03-31,26.64,$2.11,12.62
2016-12-31,29.89,$2.05,14.58
2016-09-30,22.05,$2.04,10.81
2016-06-30,18.46,$1.99,9.28
2016-03-31,19.3,$2.02,9.56
2015-12-31,22.92,$1.97,11.63
2015-09-30,24.11,$1.96,12.3
2015-06-30,21.75,$1.91,11.39
2015-03-31,20.72,$1.88,11.02
2014-12-31,21.62,$1.94,11.15
2014-09-30,16.91,$1.85,9.14
2014-06-30,17.79,$1.77,10.05
2014-03-31,16.84,$1.75,9.62
2013-12-31,17.86,$1.70,10.5
2013-09-30,16.98,$1.62,10.48
2013-06-30,13.65,$1.64,8.33
2013-03-31,12.81,$1.47,8.72
2012-12-31,12.39,$1.17,10.59
2012-09-30,11.97,$1.18,10.14
2012-06-30,12.44,$1.19,10.46
2012-03-31,14.5,$1.37,10.58
2011-12-31,12.98,$1.42,9.14
2011-09-30,10.64,$1.50,7.09
2011-06-30,12.14,$1.45,8.37
2011-03-31,13.99,$1.25,11.19
2010-12-31,14.55,$1.43,10.17
2010-09-30,11.13,$1.30,8.56
2010-06-30,12.54,$1.19,10.54
2010-03-31,13.18,$0.54,24.41
2009-12-31,10.64,$0.08,132.99
