Lumentum Holdings PE Ratio Historical Data,Lumentum Holdings PE Ratio Historical Data,Lumentum Holdings PE Ratio Historical Data,Lumentum Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,69.62,,0.0
2024-06-30,50.92,$-8.09,0.0
2024-03-31,47.35,$-5.25,0.0
2023-12-31,52.42,$-3.94,0.0
2023-09-30,45.18,$-2.93,0.0
2023-06-30,56.73,$-1.92,0.0
2023-03-31,54.01,$-0.55,0.0
2022-12-31,52.17,$0.37,141.0
2022-09-30,68.57,$1.58,43.4
2022-06-30,79.42,$2.67,29.75
2022-03-31,97.6,$2.46,39.67
2021-12-31,105.77,$4.96,21.32
2021-09-30,83.54,$5.27,15.85
2021-06-30,82.03,$5.05,16.24
2021-03-31,91.35,$4.71,19.39
2020-12-31,94.8,$2.42,39.17
2020-09-30,75.13,$1.99,37.75
2020-06-30,81.43,$1.74,46.8
2020-03-31,73.7,$1.46,50.48
2019-12-31,79.3,$-0.08,0.0
2019-09-30,53.56,$-0.63,0.0
2019-06-30,53.41,$-0.52,0.0
2019-03-31,56.54,$0.22,257.0
2018-12-31,42.01,$1.24,33.88
2018-09-30,59.95,$4.33,13.85
2018-06-30,57.9,$3.72,15.56
2018-03-31,63.8,$2.42,26.36
2017-12-31,48.9,$1.46,33.49
2017-09-30,54.35,$-1.52,0.0
2017-06-30,57.05,$-1.69,0.0
2017-03-31,53.35,$-0.56,0.0
2016-12-31,38.65,$0.23,168.04
2016-09-30,41.77,$0.09,464.11
2016-06-30,24.2,$-0.02,0.0
