Alarm Holdings PE Ratio Historical Data,Alarm Holdings PE Ratio Historical Data,Alarm Holdings PE Ratio Historical Data,Alarm Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,53.9,,26.82
2024-06-30,63.54,$2.01,31.61
2024-03-31,72.47,$1.69,42.88
2023-12-31,64.62,$1.53,42.24
2023-09-30,61.14,$1.29,47.4
2023-06-30,51.68,$1.27,40.69
2023-03-31,50.28,$1.18,42.61
2022-12-31,49.48,$1.08,45.81
2022-09-30,64.86,$0.92,70.5
2022-06-30,61.86,$0.83,74.53
2022-03-31,66.46,$0.90,73.84
2021-12-31,84.81,$1.01,83.97
2021-09-30,78.19,$1.14,68.59
2021-06-30,84.7,$1.59,53.27
2021-03-31,86.38,$1.65,52.35
2020-12-31,103.45,$1.54,67.18
2020-09-30,55.25,$1.49,37.08
2020-06-30,64.81,$1.13,57.35
2020-03-31,38.91,$1.06,36.71
2019-12-31,42.97,$1.06,40.54
2019-09-30,46.64,$0.96,48.58
2019-06-30,53.5,$0.45,118.89
2019-03-31,64.9,$0.40,162.25
2018-12-31,51.87,$0.43,120.63
2018-09-30,57.4,$0.28,205.0
2018-06-30,40.38,$0.75,53.84
2018-03-31,37.74,$0.73,51.7
2017-12-31,37.75,$0.60,62.92
2017-09-30,45.18,$0.65,69.51
2017-06-30,37.63,$0.39,96.49
2017-03-31,30.74,$0.23,133.65
2016-12-31,27.83,$0.21,132.52
2016-09-30,28.86,$0.22,131.18
2016-06-30,25.63,$0.24,106.79
2016-03-31,23.7,$-5.89,0.0
