KE Holdings PE Ratio Historical Data,KE Holdings PE Ratio Historical Data,KE Holdings PE Ratio Historical Data,KE Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,19.47,,40.56
2024-06-30,14.15,$0.48,29.48
2024-03-31,13.73,$0.41,33.49
2023-12-31,16.21,$0.69,23.49
2023-09-30,15.52,$0.65,23.88
2023-06-30,14.85,$0.60,24.75
2023-03-31,18.84,$0.22,85.64
2022-12-31,13.96,$-0.19,0.0
2022-09-30,17.52,$-0.35,0.0
2022-06-30,17.95,$-0.66,0.0
2022-03-31,12.37,$-0.29,0.0
2021-12-31,20.12,$-0.08,0.0
2021-09-30,18.26,$-0.01,0.0
