Universal Logistics Holdings PE Ratio Historical Data,Universal Logistics Holdings PE Ratio Historical Data,Universal Logistics Holdings PE Ratio Historical Data,Universal Logistics Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,45.64,,9.41
2024-06-30,40.49,$4.85,8.35
2024-03-31,36.69,$4.58,8.01
2023-12-31,27.8,$3.54,7.85
2023-09-30,24.88,$4.00,6.22
2023-06-30,28.35,$4.96,5.72
2023-03-31,28.58,$5.75,4.97
2022-12-31,32.68,$6.36,5.14
2022-09-30,30.91,$5.69,5.43
2022-06-30,26.54,$4.23,6.27
2022-03-31,19.51,$3.49,5.59
2021-12-31,18.16,$2.73,6.65
2021-09-30,19.23,$2.73,7.04
2021-06-30,22.2,$2.85,7.79
2021-03-31,24.97,$2.13,11.72
2020-12-31,19.45,$1.78,10.93
2020-09-30,19.61,$1.50,13.07
2020-06-30,16.34,$0.70,23.34
2020-03-31,12.32,$1.17,10.53
2019-12-31,17.7,$1.33,13.31
2019-09-30,21.62,$1.33,16.26
2019-06-30,20.66,$2.16,9.57
2019-03-31,18.1,$2.08,8.7
2018-12-31,16.47,$1.84,8.95
2018-09-30,33.38,$2.38,14.03
2018-06-30,23.74,$1.73,13.72
2018-03-31,19.04,$1.21,15.73
2017-12-31,21.31,$0.99,21.53
2017-09-30,18.29,$0.23,79.53
2017-06-30,13.35,$0.53,25.19
2017-03-31,12.71,$0.75,16.95
