John Wiley & Sons PE Ratio Historical Data,John Wiley & Sons PE Ratio Historical Data,John Wiley & Sons PE Ratio Historical Data,John Wiley & Sons PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,50.55,,0.0
2024-07-31,47.41,$-2.00,0.0
2024-04-30,37.01,$-3.64,0.0
2024-01-31,33.03,$-2.88,0.0
2023-10-31,29.23,$-2.09,0.0
2023-07-31,32.72,$-1.06,0.0
2023-04-30,36.48,$1.37,26.63
2023-01-31,42.92,$0.78,55.03
2022-10-31,39.19,$3.06,12.81
2022-04-30,46.49,$2.62,17.74
2022-01-31,46.06,$2.59,17.78
2021-10-31,48.86,$1.64,29.79
2021-07-31,52.67,$1.04,50.65
2021-04-30,50.74,$2.02,25.12
2022-07-31,48.06,$1.58,30.42
2021-01-31,40.39,$-0.93,0.0
2020-10-31,27.21,$-0.69,0.0
2020-07-31,29.43,$-1.12,0.0
2020-04-30,32.36,$-1.35,0.0
2020-01-31,37.25,$2.58,14.44
2019-10-31,39.07,$2.56,15.26
2019-07-31,38.3,$2.53,15.14
2019-04-30,38.58,$2.92,13.21
2019-01-31,42.94,$2.75,15.61
2018-10-31,44.66,$3.33,13.41
2018-07-31,51.71,$3.61,14.32
2018-04-30,53.72,$3.32,16.18
2018-01-31,51.38,$3.20,16.06
2017-10-31,44.08,$2.83,15.57
2017-07-31,44.29,$1.59,27.86
2017-04-30,41.99,$1.96,21.42
2017-01-31,43.65,$1.74,25.09
2016-10-31,40.65,$1.53,26.57
2016-07-31,45.18,$2.47,18.29
2016-04-30,38.6,$2.73,14.14
2016-01-31,32.33,$2.86,11.31
2015-10-31,40.21,$3.15,12.76
2015-04-30,43.22,$2.97,14.55
2015-01-31,46.85,$2.78,16.85
2014-10-31,43.94,$2.61,16.83
2014-07-31,44.98,$2.59,17.37
2014-04-30,42.81,$2.64,16.22
2015-07-31,40.5,$2.65,15.28
2014-01-31,40.16,$2.23,18.01
2013-10-31,37.13,$2.30,16.15
2013-07-31,33.15,$2.40,13.81
2013-04-30,27.86,$2.39,11.66
2013-01-31,27.79,$3.06,9.08
2012-10-31,31.29,$3.14,9.96
2012-07-31,34.19,$3.26,10.49
2012-04-30,32.26,$3.48,9.27
2012-01-31,32.27,$3.14,10.28
2011-10-31,33.66,$2.85,11.81
2011-07-31,35.27,$2.90,12.16
2011-04-30,35.75,$2.80,12.77
2011-01-31,32.15,$2.80,11.48
2010-10-31,30.09,$2.77,10.86
2010-07-31,27.35,$2.67,10.24
2010-04-30,29.23,$2.40,12.18
2010-01-31,28.78,$2.36,12.2
2009-10-31,24.2,$2.22,10.9
