Wheaton Precious Metals PE Ratio Historical Data,Wheaton Precious Metals PE Ratio Historical Data,Wheaton Precious Metals PE Ratio Historical Data,Wheaton Precious Metals PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,63.58,,50.46
2024-06-30,52.29,$1.26,41.5
2024-03-31,46.86,$1.30,36.05
2023-12-31,49.06,$1.19,41.23
2023-09-30,40.2,$1.19,33.78
2023-06-30,42.69,$1.36,31.39
2023-03-31,47.42,$1.38,34.36
2022-12-31,38.36,$1.48,25.92
2022-09-30,31.63,$1.76,17.97
2022-06-30,35.06,$1.63,21.51
2022-03-31,46.13,$1.66,27.79
2021-12-31,41.5,$1.66,25.0
2021-09-30,36.2,$1.34,27.02
2021-03-31,36.57,$1.28,28.57
2020-12-31,39.81,$1.13,35.23
2020-09-30,46.66,$0.95,49.12
2020-06-30,41.81,$0.79,52.92
2020-03-31,26.07,$0.92,28.34
2019-12-31,28.08,$0.43,65.29
2019-09-30,24.69,$0.39,63.3
2021-06-30,42.31,$0.24,176.28
2019-06-30,22.67,$-0.05,0.0
2019-03-31,22.15,$0.95,23.32
2018-12-31,18.16,$0.97,18.72
2018-09-30,16.27,$0.64,25.43
2018-06-30,20.41,$0.71,28.75
2018-03-31,18.69,$0.14,133.48
