Sanmina PE Ratio Historical Data,Sanmina PE Ratio Historical Data,Sanmina PE Ratio Historical Data,Sanmina PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,68.2,,17.67
2024-06-30,66.25,$3.86,17.16
2024-03-31,62.18,$4.23,14.7
2023-12-31,51.37,$4.63,11.1
2023-09-30,54.28,$5.13,10.58
2023-06-30,60.27,$5.17,11.66
2023-03-31,60.99,$5.18,11.77
2022-12-31,57.29,$4.68,12.24
2022-09-30,46.08,$4.09,11.27
2022-06-30,40.73,$3.85,10.58
2022-03-31,40.42,$4.30,9.4
2021-12-31,41.46,$4.17,9.94
2021-09-30,38.54,$4.00,9.64
2021-06-30,38.96,$3.91,9.96
2021-03-31,41.38,$2.81,14.73
2020-12-31,31.89,$2.18,14.63
2020-09-30,27.05,$1.99,13.59
2020-06-30,25.04,$1.51,16.58
2020-03-31,27.28,$1.47,18.56
2019-12-31,34.24,$1.97,17.38
2019-09-30,32.11,$1.98,16.22
2019-06-30,30.28,$1.79,16.92
2019-03-31,28.85,$1.66,17.38
2018-12-31,24.06,$1.42,16.94
2018-09-30,27.6,$-1.28,0.0
2018-06-30,29.3,$-1.03,0.0
2018-03-31,26.15,$-1.03,0.0
2017-12-31,33.0,$-0.95,0.0
2017-09-30,37.15,$1.79,20.75
2017-06-30,38.1,$2.76,13.8
2017-03-31,40.6,$2.67,15.21
2016-12-31,36.65,$2.65,13.83
2016-09-30,28.47,$2.40,11.86
2016-06-30,26.81,$4.88,5.49
2016-03-31,23.38,$4.79,4.88
2015-12-31,20.58,$4.57,4.5
2015-09-30,21.37,$4.50,4.75
2015-06-30,20.16,$2.24,9.0
2015-03-31,24.19,$2.19,11.05
2014-12-31,23.53,$2.26,10.41
2014-09-30,20.86,$2.26,9.23
2014-06-30,22.78,$1.18,19.31
2014-03-31,17.45,$1.16,15.04
2013-12-31,16.7,$1.17,14.27
2013-09-30,17.49,$0.92,19.01
2013-06-30,14.35,$2.44,5.88
2013-03-31,11.37,$2.33,4.88
2012-12-31,11.07,$2.06,5.37
2012-09-30,8.51,$2.15,3.96
2012-06-30,8.19,$0.41,19.98
2012-03-31,11.45,$0.39,29.36
2011-12-31,9.31,$0.57,16.33
2011-09-30,6.68,$0.81,8.25
2011-06-30,10.33,$0.97,10.65
2011-03-31,11.21,$1.14,9.83
2010-12-31,11.48,$1.10,10.44
2010-09-30,12.08,$1.50,8.05
2010-06-30,13.61,$0.71,19.17
2010-03-31,16.5,$-0.09,0.0
2009-12-31,11.03,$-0.63,0.0
