Advance Auto Parts PE Ratio Historical Data,Advance Auto Parts PE Ratio Historical Data,Advance Auto Parts PE Ratio Historical Data,Advance Auto Parts PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,39.38,,51.14
2024-06-30,62.66,$0.77,81.38
2023-12-31,59.94,$0.74,81.01
2023-09-30,54.66,$3.12,17.52
2023-06-30,68.46,$4.61,14.85
2023-03-31,117.01,$5.02,23.31
2022-12-31,141.47,$6.68,21.18
2024-03-31,83.91,$7.15,11.74
2022-09-30,148.86,$7.78,19.13
2022-06-30,163.35,$8.62,18.95
2022-03-31,193.56,$8.98,21.55
2021-12-31,222.75,$9.53,23.37
2021-09-30,193.16,$9.88,19.55
2021-06-30,188.78,$9.33,20.23
2021-03-31,168.0,$9.33,18.01
2020-12-31,144.01,$7.15,20.14
2020-09-30,140.13,$6.88,20.37
2020-06-30,129.83,$6.50,19.97
2020-03-31,84.91,$5.49,15.47
2019-12-31,145.3,$6.84,21.24
2019-09-30,150.0,$6.20,24.19
2019-06-30,139.73,$6.01,23.25
2019-03-31,154.53,$5.87,26.33
2018-12-31,142.64,$5.73,24.89
2018-09-30,152.42,$7.48,20.38
2018-06-30,122.83,$7.22,17.01
2018-03-31,107.26,$6.80,15.77
2017-12-31,90.15,$5.80,15.54
2017-09-30,89.65,$4.84,18.52
2017-06-30,105.3,$5.22,20.17
2016-12-31,152.61,$6.19,24.65
2016-09-30,134.52,$6.09,22.09
2016-06-30,145.74,$6.02,24.21
2016-03-31,144.52,$5.97,24.21
2015-12-31,135.61,$5.86,23.14
2017-03-31,133.84,$7.12,18.8
2015-09-30,170.7,$6.81,25.07
2015-06-30,143.42,$6.84,20.97
2015-03-31,134.72,$6.70,20.11
2014-12-31,143.29,$6.71,21.36
2014-09-30,117.18,$6.23,18.81
2014-06-30,121.28,$5.99,20.25
2014-03-31,113.66,$5.69,19.97
2013-12-31,99.4,$5.33,18.65
2013-09-30,74.21,$5.54,13.4
2013-06-30,72.8,$5.33,13.66
2013-03-31,74.07,$5.08,14.58
2012-12-31,64.79,$5.22,12.41
2012-09-30,61.24,$5.24,11.69
2012-06-30,60.99,$5.44,11.21
2012-03-31,79.12,$5.56,14.23
2011-12-31,62.16,$5.12,12.14
2011-09-30,51.82,$4.79,10.82
2011-06-30,52.11,$4.41,11.82
2011-03-31,58.41,$4.11,14.21
2010-12-31,58.82,$3.12,18.85
2010-09-30,52.13,$3.20,16.29
2010-06-30,44.54,$3.00,14.85
2009-12-31,35.84,$2.82,12.71
2009-09-30,34.72,$3.65,9.51
