Capri Holdings PE Ratio Historical Data,Capri Holdings PE Ratio Historical Data,Capri Holdings PE Ratio Historical Data,Capri Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,42.64,,0.0
2024-06-30,33.08,$-2.49,0.0
2024-03-31,45.3,$-1.97,0.0
2023-12-31,50.24,$1.78,28.22
2023-09-30,52.61,$2.62,20.08
2023-06-30,35.89,$3.48,10.31
2023-03-31,47.0,$4.47,10.51
2022-12-31,57.32,$5.29,10.84
2022-09-30,38.44,$5.68,6.77
2022-06-30,41.01,$5.35,7.67
2022-03-31,51.39,$5.36,9.59
2021-12-31,64.91,$3.61,17.98
2021-09-30,48.41,$2.68,18.06
2021-06-30,57.19,$2.19,26.11
2021-03-31,51.0,$-0.43,0.0
2020-12-31,42.0,$-2.91,0.0
2020-09-30,18.0,$-2.71,0.0
2020-06-30,15.63,$-3.05,0.0
2020-03-31,10.79,$-1.54,0.0
2019-12-31,38.15,$2.28,16.73
2019-09-30,33.16,$2.23,14.87
2019-06-30,34.68,$2.67,12.99
2019-03-31,45.75,$2.66,17.2
2018-12-31,37.92,$3.95,9.6
2018-09-30,68.56,$3.94,17.4
2018-03-31,62.08,$3.83,16.21
2017-12-31,62.95,$3.37,18.68
2017-09-30,47.85,$3.17,15.09
2017-06-30,36.25,$3.49,10.39
2017-03-31,38.11,$3.64,10.47
2018-06-30,66.6,$4.64,14.35
2016-12-31,42.98,$4.40,9.77
2016-09-30,46.79,$4.35,10.76
2016-06-30,49.48,$4.41,11.22
2016-03-31,56.96,$4.45,12.8
2015-12-31,40.06,$4.37,9.17
2015-09-30,42.24,$4.26,9.92
2015-06-30,42.09,$4.25,9.9
2015-03-31,65.75,$4.29,15.33
2014-12-31,75.1,$4.17,18.01
2014-09-30,71.39,$3.80,18.79
2014-06-30,88.65,$3.51,25.26
2014-03-31,93.27,$3.21,29.06
2013-12-31,81.19,$2.93,27.71
2013-09-30,74.52,$2.46,30.29
2013-06-30,62.02,$2.24,27.69
2013-03-31,56.79,$1.97,28.83
2012-12-31,51.03,$1.69,30.2
2012-09-30,53.18,$1.25,42.54
