Douglas Emmett PE Ratio Historical Data,Douglas Emmett PE Ratio Historical Data,Douglas Emmett PE Ratio Historical Data,Douglas Emmett PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,19.0,,0.0
2024-06-30,13.17,$-0.21,0.0
2024-03-31,13.53,$-0.31,0.0
2023-12-31,13.95,$-0.26,0.0
2023-09-30,12.12,$0.12,101.0
2023-06-30,11.76,$0.33,35.64
2023-03-31,11.37,$0.51,22.29
2022-12-31,14.23,$0.55,25.87
2022-09-30,16.08,$0.52,30.92
2022-06-30,19.76,$0.49,40.32
2022-03-31,29.14,$0.44,66.23
2021-12-31,28.97,$0.36,80.48
2021-09-30,27.11,$0.35,77.46
2021-06-30,28.59,$0.27,105.88
2021-03-31,26.48,$0.19,139.37
2020-12-31,24.4,$0.28,87.13
2020-09-30,20.78,$1.76,11.81
2020-06-30,25.11,$1.87,13.43
2020-03-31,24.76,$2.06,12.02
2019-12-31,35.3,$2.08,16.97
2019-09-30,34.22,$0.65,52.64
2019-06-30,31.63,$0.70,45.19
2019-03-31,31.88,$0.69,46.21
2018-12-31,26.75,$0.69,38.77
2018-09-30,29.34,$0.71,41.32
2018-06-30,31.04,$0.68,45.65
2018-03-31,28.22,$0.62,45.52
2017-12-31,31.31,$0.57,54.93
2017-09-30,29.88,$0.53,56.38
2017-06-30,28.79,$0.59,48.8
2017-03-31,28.76,$0.58,49.59
2016-12-31,27.22,$0.56,48.61
2016-09-30,27.1,$0.52,52.11
2016-06-30,26.12,$0.39,66.98
2016-03-31,22.0,$0.39,56.41
2015-12-31,22.62,$0.36,62.83
2015-09-30,20.69,$0.32,64.64
2015-03-31,21.15,$0.33,64.09
2014-12-31,20.01,$0.30,66.69
2014-09-30,17.95,$0.29,61.91
2014-06-30,19.59,$0.33,59.35
2014-03-31,18.7,$0.31,60.33
2013-12-31,15.93,$0.30,53.1
2015-06-30,19.26,$0.32,60.19
2013-09-30,15.92,$0.27,58.96
2013-06-30,16.8,$0.24,69.98
2013-03-31,16.66,$0.21,79.34
2012-12-31,15.46,$0.17,90.94
2012-09-30,15.19,$0.16,94.93
2012-06-30,15.11,$0.15,100.74
2012-03-31,14.82,$0.06,246.98
2011-12-31,11.77,$0.02,588.59
2011-09-30,10.96,$-0.05,0.0
2011-06-30,12.65,$-0.11,0.0
2011-03-31,11.85,$-0.14,0.0
2010-12-31,10.43,$-0.21,0.0
2010-09-30,10.94,$-0.24,0.0
2010-06-30,8.83,$-0.28,0.0
2010-03-31,9.49,$-0.23,0.0
2009-12-31,8.74,$-0.22,0.0
