Kinetik Holdings PE Ratio Historical Data,Kinetik Holdings PE Ratio Historical Data,Kinetik Holdings PE Ratio Historical Data,Kinetik Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,49.72,,19.35
2024-06-30,40.7,$2.57,15.84
2024-03-31,38.42,$2.44,15.75
2023-12-31,31.49,$2.26,13.93
2023-09-30,31.14,$0.81,38.45
2023-06-30,31.76,$1.64,19.37
2023-03-31,27.54,$1.29,21.35
2022-12-31,28.38,$1.46,19.5
2022-09-30,27.95,$1.21,23.19
2022-06-30,28.72,$0.80,36.12
2022-03-31,26.79,$1.39,19.28
2021-12-31,25.27,$1.31,19.29
2021-09-30,27.78,$2.57,10.83
2021-06-30,26.54,$2.09,12.73
2021-03-31,20.15,$1.40,14.45
2020-12-31,17.75,$-0.03,0.0
2020-09-30,4.16,$-49.79,0.0
2020-06-30,4.74,$-50.64,0.0
2020-03-31,5.61,$-50.90,0.0
2019-12-31,21.4,$-49.40,0.0
2019-09-30,21.17,$-0.90,0.0
2019-06-30,27.83,$-0.20,0.0
2019-03-31,44.14,$0.10,441.44
2018-12-31,57.84,0,0.0
2018-09-30,76.02,0,0.0
2018-06-30,74.07,0,0.0
2018-03-31,73.25,0,0.0
