Ambarella PE Ratio Historical Data,Ambarella PE Ratio Historical Data,Ambarella PE Ratio Historical Data,Ambarella PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,57.49,,0.0
2024-07-31,52.64,$-4.32,0.0
2024-04-30,45.97,$-4.26,0.0
2024-01-31,52.56,$-4.24,0.0
2023-10-31,44.99,$-3.03,0.0
2023-07-31,83.42,$-2.50,0.0
2023-04-30,61.98,$-2.33,0.0
2023-01-31,89.84,$-1.71,0.0
2022-10-31,54.73,$-1.67,0.0
2022-07-31,86.55,$-1.14,0.0
2022-04-30,82.08,$-0.72,0.0
2022-01-31,140.15,$-0.73,0.0
2021-10-31,185.83,$-0.83,0.0
2021-07-31,98.49,$-1.34,0.0
2021-04-30,97.49,$-1.57,0.0
2021-01-31,94.36,$-1.72,0.0
2020-10-31,54.67,$-1.76,0.0
2020-07-31,45.28,$-1.40,0.0
2020-04-30,52.58,$-1.28,0.0
2020-01-31,59.14,$-1.36,0.0
2019-10-31,52.63,$-1.11,0.0
2019-07-31,49.95,$-1.26,0.0
2019-04-30,50.12,$-1.16,0.0
2019-01-31,38.0,$-0.93,0.0
2018-10-31,34.78,$-0.75,0.0
2018-07-31,39.18,$-0.13,0.0
2018-04-30,46.59,$0.18,258.83
2018-01-31,50.4,$0.55,91.64
2017-10-31,56.44,$1.04,54.27
2017-07-31,50.05,$1.54,32.5
2017-04-30,56.22,$1.49,37.73
2017-01-31,49.61,$1.57,31.6
2016-10-31,61.37,$1.91,32.13
2016-04-30,41.1,$1.75,23.49
2016-01-31,39.68,$2.26,17.56
2015-10-31,49.44,$2.64,18.73
2015-07-31,115.87,$1.94,59.73
2015-04-30,73.15,$1.44,50.8
2015-01-31,55.31,$1.18,46.87
2014-04-30,24.85,$0.86,28.9
2014-01-31,32.03,$0.85,37.68
2013-10-31,20.55,$0.80,25.69
2013-07-31,16.6,$0.75,22.13
2013-04-30,13.7,$1.11,12.34
2013-01-31,9.96,$1.24,8.03
2012-10-31,7.22,$1.36,5.31
