Energizer Holdings PE Ratio Historical Data,Energizer Holdings PE Ratio Historical Data,Energizer Holdings PE Ratio Historical Data,Energizer Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,32.48,,232.0
2024-06-30,29.25,$0.14,208.93
2024-03-31,28.87,$1.19,24.26
2023-12-31,30.75,$1.29,23.84
2023-09-30,30.81,$1.94,15.88
2023-06-30,32.01,$-3.42,0.0
2023-03-31,32.79,$-3.13,0.0
2022-12-31,31.44,$-3.41,0.0
2022-09-30,23.35,$-3.26,0.0
2022-06-30,26.08,$2.97,8.78
2022-03-31,28.02,$2.48,11.3
2021-12-31,36.21,$2.00,18.11
2021-09-30,34.98,$2.08,16.82
2021-06-30,38.21,$0.13,293.92
2021-03-31,41.92,$0.27,155.25
2020-12-31,37.01,$-1.27,0.0
2020-09-30,34.1,$-1.58,0.0
2020-06-30,41.11,$-0.16,0.0
2020-03-31,26.01,$-0.50,0.0
2019-12-31,42.93,$0.11,390.23
2019-09-30,37.03,$0.67,55.27
2019-06-30,32.57,$0.08,407.11
2019-03-31,37.62,$0.43,87.49
2018-12-31,37.56,$1.70,22.09
2018-09-30,48.79,$1.52,32.1
2018-06-30,52.14,$2.05,25.43
2018-03-31,49.08,$2.06,23.83
2017-12-31,39.32,$2.68,14.67
2017-09-30,37.5,$3.22,11.65
2017-06-30,38.85,$3.01,12.91
2017-03-31,44.86,$3.00,14.95
2016-12-31,35.71,$2.51,14.23
2016-09-30,39.74,$2.04,19.48
2016-06-30,40.76,$2.07,19.69
