Tradeweb Markets PE Ratio Historical Data,Tradeweb Markets PE Ratio Historical Data,Tradeweb Markets PE Ratio Historical Data,Tradeweb Markets PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,132.75,,65.72
2024-06-30,106.0,$2.02,52.48
2024-03-31,104.17,$1.89,55.12
2023-12-31,90.88,$1.72,52.84
2023-09-30,80.2,$1.72,46.63
2023-06-30,68.48,$1.59,43.07
2023-03-31,79.02,$1.50,52.68
2022-12-31,64.93,$1.48,43.87
2022-09-30,56.42,$1.29,43.74
2022-06-30,68.17,$1.22,55.88
2022-03-31,87.67,$1.16,75.57
2021-12-31,99.81,$1.09,91.57
2021-09-30,80.45,$1.14,70.57
2021-06-30,84.14,$1.07,78.63
2021-03-31,73.56,$0.96,76.62
2020-12-31,62.01,$0.88,70.47
2020-09-30,57.51,$0.85,67.66
2020-06-30,57.57,$0.86,66.94
2020-03-31,41.58,$0.79,52.63
