Equity Lifestyle Properties PE Ratio Historical Data,Equity Lifestyle Properties PE Ratio Historical Data,Equity Lifestyle Properties PE Ratio Historical Data,Equity Lifestyle Properties PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,70.13,,36.72
2024-06-30,64.69,$1.91,33.87
2024-03-31,63.5,$1.83,34.7
2023-12-31,69.04,$1.68,41.1
2023-09-30,61.97,$1.58,39.22
2023-06-30,64.61,$1.53,42.23
2023-03-31,64.41,$1.52,42.37
2022-12-31,61.56,$1.53,40.24
2022-09-30,59.51,$1.50,39.67
2022-06-30,66.3,$1.52,43.62
2022-03-31,71.55,$1.52,47.07
2021-12-31,81.55,$1.43,57.03
2021-09-30,72.35,$1.42,50.95
2021-06-30,68.54,$1.32,51.92
2021-03-31,58.42,$1.24,47.11
2020-12-31,57.83,$1.25,46.26
2020-09-30,55.64,$1.20,46.36
2020-06-30,56.39,$1.27,44.4
2020-03-31,51.6,$1.28,40.47
2019-12-31,62.79,$1.54,40.9
2019-09-30,59.32,$1.52,39.16
2019-06-30,53.64,$1.48,36.24
2019-03-31,50.27,$1.49,33.85
2018-12-31,42.49,$1.20,35.56
2018-09-30,41.95,$1.17,35.86
2018-06-30,39.74,$1.14,35.02
2018-03-31,37.73,$1.10,34.3
2017-12-31,38.03,$1.09,35.05
2017-09-30,36.15,$1.05,34.59
2017-06-30,36.47,$1.01,36.29
2017-03-31,32.37,$0.99,32.69
2016-12-31,30.09,$0.97,31.18
2016-09-30,32.02,$0.96,33.53
2016-06-30,33.03,$0.93,35.52
2016-03-31,29.84,$0.91,32.79
2015-12-31,27.19,$0.77,35.31
2015-09-30,23.75,$0.74,32.1
2015-06-30,21.19,$0.68,31.16
2015-03-31,21.98,$0.64,34.35
2014-12-31,20.49,$0.71,28.85
2014-09-30,16.73,$0.68,24.6
2014-06-30,17.3,$0.71,24.54
2014-03-31,15.81,$0.66,23.96
2013-12-31,13.98,$0.64,21.84
2013-09-30,13.09,$0.64,20.46
2013-06-30,14.95,$0.56,26.7
2013-03-31,14.52,$0.47,31.05
2012-12-31,12.63,$0.33,38.0
2012-09-30,12.71,$0.19,67.77
2012-06-30,12.78,$0.07,182.62
2012-03-31,12.84,$0.11,119.45
2011-12-31,12.2,$0.19,65.95
2011-09-30,11.41,$0.23,49.59
2011-06-30,11.29,$0.34,33.21
2011-03-31,10.37,$0.34,30.49
2010-12-31,9.99,$0.31,32.22
2010-09-30,9.68,$0.32,30.48
2010-06-30,8.52,$0.32,26.84
2010-03-31,9.46,$0.30,32.08
2009-12-31,8.82,$0.31,28.67
