Ringcentral PE Ratio Historical Data,Ringcentral PE Ratio Historical Data,Ringcentral PE Ratio Historical Data,Ringcentral PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,32.96,,0.0
2024-06-30,28.2,$-1.42,0.0
2024-03-31,34.74,$-1.49,0.0
2023-12-31,33.95,$-1.75,0.0
2023-09-30,29.63,$-4.22,0.0
2023-06-30,32.73,$-6.75,0.0
2023-03-31,30.67,$-8.20,0.0
2022-12-31,35.4,$-9.23,0.0
2022-09-30,39.96,$-7.53,0.0
2022-06-30,52.26,$-6.15,0.0
2022-03-31,117.21,$-5.69,0.0
2021-12-31,187.35,$-4.09,0.0
2021-09-30,217.5,$-2.84,0.0
2021-06-30,290.58,$-1.48,0.0
2021-03-31,297.88,$-0.25,0.0
2020-12-31,378.97,$-0.95,0.0
2020-09-30,274.61,$-1.23,0.0
2020-06-30,285.01,$-1.14,0.0
2020-03-31,211.91,$-1.26,0.0
2019-12-31,168.67,$-0.64,0.0
2019-09-30,125.66,$-0.41,0.0
2019-06-30,114.92,$-0.38,0.0
2019-03-31,107.8,$-0.37,0.0
2018-12-31,82.44,$-0.32,0.0
2018-09-30,93.05,$-0.33,0.0
2018-06-30,70.35,$-0.28,0.0
2018-03-31,63.5,$-0.27,0.0
2017-12-31,48.4,$-0.34,0.0
2017-09-30,41.75,$-0.35,0.0
2017-06-30,36.55,$-0.39,0.0
2017-03-31,28.3,$-0.41,0.0
2016-12-31,20.6,$-0.40,0.0
2016-09-30,23.66,$-0.41,0.0
2016-06-30,19.72,$-0.39,0.0
2016-03-31,15.75,$-0.40,0.0
2015-12-31,23.58,$-0.46,0.0
2015-09-30,18.15,$-0.51,0.0
2015-06-30,18.49,$-0.60,0.0
2015-03-31,15.33,$-0.68,0.0
2014-12-31,14.92,$-0.73,0.0
2014-09-30,12.71,$-0.80,0.0
2014-06-30,15.13,$-0.98,0.0
