Brinker PE Ratio Historical Data,Brinker PE Ratio Historical Data,Brinker PE Ratio Historical Data,Brinker PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,89.3,,26.11
2024-06-30,72.39,$3.42,21.17
2024-03-31,49.68,$3.37,14.74
2023-12-31,43.18,$3.41,12.66
2023-09-30,31.59,$3.09,10.22
2023-06-30,36.6,$2.24,16.34
2023-03-31,38.0,$1.95,19.49
2022-12-31,31.91,$1.64,19.46
2022-09-30,24.98,$1.62,15.42
2022-06-30,22.03,$2.59,8.51
2022-03-31,38.16,$3.27,11.67
2021-12-31,36.59,$3.19,11.47
2021-09-30,49.05,$2.85,17.21
2021-06-30,61.85,$2.80,22.09
2021-03-31,71.06,$0.02,3553.0
2020-12-31,56.57,$0.10,565.7
2020-09-30,42.72,$0.57,74.95
2020-06-30,24.0,$0.73,32.88
2020-03-31,12.01,$3.15,3.81
2019-12-31,41.5,$3.65,11.37
2019-09-30,41.79,$3.75,11.14
2019-06-30,38.17,$4.00,9.54
2019-03-31,42.63,$3.79,11.25
2018-12-31,41.88,$3.50,11.97
2018-09-30,44.17,$3.21,13.76
2018-06-30,44.62,$2.77,16.11
2018-03-31,33.57,$2.78,12.08
2017-12-31,35.74,$2.62,13.64
2017-09-30,29.02,$2.77,10.48
2017-06-30,34.27,$2.99,11.46
2017-03-31,39.21,$3.08,12.73
2016-12-31,43.82,$3.22,13.61
2016-09-30,44.33,$3.33,13.31
2016-06-30,39.77,$3.45,11.53
2016-03-31,39.86,$3.26,12.23
2015-12-31,41.32,$3.28,12.6
2015-09-30,45.07,$3.12,14.44
2015-06-30,49.03,$3.07,15.97
2015-03-31,52.1,$2.58,20.19
2014-12-31,49.43,$2.38,20.77
2014-09-30,42.57,$2.32,18.35
2014-06-30,40.54,$2.25,18.02
2014-03-31,43.5,$2.46,17.68
2013-12-31,38.26,$2.35,16.28
2013-09-30,33.29,$2.27,14.67
2013-06-30,32.19,$2.21,14.57
2013-03-31,30.59,$2.18,14.03
2012-12-31,25.04,$2.03,12.33
2012-09-30,28.33,$1.97,14.38
2012-06-30,25.43,$1.89,13.46
2012-03-31,21.87,$1.77,12.36
2011-12-31,21.12,$1.66,12.73
2011-09-30,16.41,$1.63,10.07
2011-06-30,19.04,$1.56,12.2
2011-03-31,19.57,$1.69,11.58
2010-12-31,16.07,$1.63,9.86
2010-09-30,14.42,$1.40,10.3
2010-06-30,10.97,$1.34,8.19
2010-03-31,14.5,$1.13,12.84
2009-12-31,11.16,$1.08,10.33
