Boot Barn Holdings PE Ratio Historical Data,Boot Barn Holdings PE Ratio Historical Data,Boot Barn Holdings PE Ratio Historical Data,Boot Barn Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,166.38,,33.75
2024-06-30,128.93,$4.93,26.15
2024-03-31,95.15,$4.80,19.82
2023-12-31,76.76,$5.37,14.29
2023-09-30,81.19,$5.30,15.32
2023-06-30,84.69,$5.46,15.51
2023-03-31,76.64,$5.62,13.64
2022-12-31,62.52,$5.56,11.24
2022-09-30,58.46,$6.09,9.6
2022-06-30,68.91,$6.28,10.97
2022-03-31,94.79,$6.34,14.95
2021-12-31,123.05,$5.69,21.63
2021-09-30,88.87,$4.42,20.11
2021-06-30,84.05,$3.37,24.94
2021-03-31,62.31,$2.00,31.16
2020-12-31,43.36,$1.38,31.42
2020-09-30,28.14,$1.23,22.88
2020-06-30,21.56,$1.29,16.71
2020-03-31,12.93,$1.64,7.88
2019-12-31,44.53,$1.74,25.59
2019-09-30,34.9,$1.55,22.52
2019-06-30,35.64,$1.45,24.58
2019-03-31,29.44,$1.36,21.65
2018-12-31,17.03,$1.30,13.1
2018-09-30,28.41,$1.37,20.74
2018-06-30,20.75,$1.25,16.6
2018-03-31,17.73,$1.04,17.05
2017-12-31,16.61,$0.90,18.46
2017-09-30,8.9,$0.56,15.89
2017-06-30,7.08,$0.54,13.11
2017-03-31,9.89,$0.53,18.66
2016-12-31,12.52,$0.47,26.64
2016-09-30,11.38,$0.45,25.29
2016-06-30,8.62,$0.30,28.73
2016-03-31,9.4,$0.36,26.11
2015-12-31,12.29,$0.42,29.26
2015-09-30,18.43,$0.41,44.95
