Illinois Tool Works PE Ratio Historical Data,Illinois Tool Works PE Ratio Historical Data,Illinois Tool Works PE Ratio Historical Data,Illinois Tool Works PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,253.18,,24.82
2024-06-30,236.96,$10.20,23.23
2024-03-31,266.75,$10.14,26.31
2023-12-31,259.05,$9.74,26.6
2023-09-30,227.77,$10.31,22.09
2023-06-30,245.92,$10.11,24.32
2023-03-31,238.06,$10.00,23.81
2022-12-31,214.26,$9.78,21.91
2022-09-30,174.66,$8.76,19.94
2022-06-30,174.96,$8.43,20.75
2022-03-31,199.68,$8.51,23.46
2021-12-31,234.02,$8.51,27.5
2021-09-30,194.96,$8.60,22.67
2021-06-30,209.73,$8.41,24.94
2021-03-31,206.76,$6.97,29.66
2020-12-31,189.34,$6.63,28.56
2020-09-30,178.42,$6.60,27.03
2020-06-30,160.52,$6.81,23.57
2020-03-31,129.66,$7.71,16.82
2019-12-31,162.66,$7.75,20.99
2019-09-30,140.87,$7.59,18.56
2019-06-30,134.82,$7.45,18.1
2019-03-31,127.46,$7.51,16.97
2018-12-31,111.72,$7.60,14.7
2018-09-30,123.46,$5.55,22.24
2018-06-30,120.35,$5.50,21.88
2018-03-31,135.33,$5.22,25.93
2017-12-31,143.41,$4.86,29.51
2017-09-30,126.58,$6.53,19.38
2017-06-30,121.9,$6.18,19.73
2017-03-31,112.22,$5.95,18.86
2016-12-31,103.23,$5.70,18.11
2016-09-30,100.49,$5.48,18.34
2016-06-30,86.87,$5.37,16.18
2016-03-31,84.97,$5.21,16.31
2015-12-31,76.46,$5.13,14.91
2015-09-30,67.51,$5.06,13.34
2015-06-30,74.78,$5.01,14.93
2015-03-31,78.73,$7.37,10.68
2014-12-31,76.37,$7.27,10.5
2014-09-30,67.73,$7.04,9.62
2014-06-30,69.86,$6.71,10.41
2014-03-31,64.58,$4.08,15.83
2013-12-31,66.41,$3.75,17.71
2013-09-30,59.94,$4.93,12.16
2013-06-30,54.07,$5.04,10.73
2013-03-31,47.37,$5.86,8.08
2012-12-31,46.98,$6.08,7.73
2012-09-30,45.65,$4.88,9.36
2012-06-30,40.34,$4.80,8.4
2012-03-31,43.27,$3.94,10.98
2011-12-31,35.16,$4.18,8.41
2011-09-30,31.07,$4.06,7.65
2011-06-30,41.84,$3.85,10.87
2011-03-31,39.54,$3.69,10.72
2010-12-31,39.07,$3.03,12.89
2010-09-30,34.18,$3.24,10.55
2010-06-30,29.79,$3.01,9.9
2010-03-31,33.94,$2.53,13.41
2009-12-31,34.16,$1.87,18.27
