Ameresco PE Ratio Historical Data,Ameresco PE Ratio Historical Data,Ameresco PE Ratio Historical Data,Ameresco PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,30.9,,28.88
2024-06-30,28.81,$1.07,26.93
2024-03-31,24.13,$1.10,21.94
2023-12-31,31.67,$1.18,26.84
2023-09-30,38.56,$0.88,43.82
2023-06-30,48.63,$0.99,49.12
2023-03-31,49.22,$1.48,33.26
2022-12-31,57.14,$1.78,32.1
2022-09-30,66.48,$1.97,33.75
2022-06-30,45.56,$1.79,25.45
2022-03-31,79.5,$1.44,55.21
2021-12-31,81.44,$1.34,60.78
2021-09-30,58.43,$1.28,45.65
2021-06-30,62.72,$1.36,46.12
2021-03-31,48.63,$1.19,40.87
2020-12-31,52.24,$1.10,47.49
2020-09-30,33.4,$1.09,30.64
2020-06-30,27.78,$0.87,31.93
2020-03-31,17.03,$0.97,17.56
2019-12-31,17.5,$0.93,18.82
2019-09-30,16.07,$0.71,22.63
2019-06-30,14.73,$0.75,19.64
2019-03-31,16.18,$0.75,21.57
2018-12-31,14.1,$0.81,17.41
2018-09-30,13.65,$1.09,12.52
2018-06-30,12.0,$1.05,11.43
2018-03-31,13.0,$0.99,13.13
2017-12-31,8.6,$0.83,10.36
2017-09-30,7.8,$0.38,20.53
2017-06-30,7.7,$0.31,24.84
2017-03-31,6.55,$0.22,29.77
2016-12-31,5.5,$0.25,22.0
2016-09-30,5.26,$0.20,26.3
2016-06-30,4.37,$0.17,25.71
2016-03-31,4.77,$0.17,28.06
2015-12-31,6.25,$0.06,104.17
2015-09-30,5.88,$0.22,26.73
2015-06-30,7.65,$0.29,26.38
2015-03-31,7.4,$0.31,23.87
2014-12-31,7.0,$0.22,31.82
2014-09-30,6.85,$0.07,97.86
2014-06-30,7.03,$0.01,703.0
2014-03-31,7.56,$-0.09,0.0
2013-12-31,9.66,$0.20,48.3
2013-09-30,10.02,$0.32,31.31
2013-06-30,9.01,$0.33,27.3
2012-12-31,9.81,$0.40,24.53
2012-09-30,11.81,$0.47,25.13
2012-06-30,11.93,$0.28,42.61
2012-03-31,13.55,$0.44,30.8
2011-12-31,13.72,$0.60,22.87
2013-03-31,7.4,$0.54,13.7
2011-09-30,10.16,$0.75,13.55
2011-06-30,14.18,$0.76,18.66
