Hope Bancorp PE Ratio Historical Data,Hope Bancorp PE Ratio Historical Data,Hope Bancorp PE Ratio Historical Data,Hope Bancorp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,13.45,,15.11
2024-06-30,10.61,$0.89,11.93
2024-03-31,11.23,$1.00,11.23
2023-12-31,11.63,$1.12,10.38
2023-09-30,8.38,$1.33,6.3
2023-06-30,7.87,$1.53,5.15
2023-03-31,9.02,$1.64,5.5
2022-12-31,11.65,$1.81,6.43
2022-09-30,11.37,$1.81,6.28
2022-06-30,12.33,$1.81,6.81
2022-03-31,14.19,$1.81,7.84
2021-12-31,12.88,$1.66,7.76
2021-09-30,12.52,$1.46,8.58
2021-06-30,12.17,$1.26,9.66
2021-03-31,12.81,$1.05,12.2
2020-12-31,9.17,$0.91,10.08
2020-09-30,6.27,$1.02,6.14
2020-06-30,7.5,$1.11,6.76
2020-03-31,6.58,$1.23,5.35
2019-12-31,11.78,$1.36,8.66
2019-09-30,11.25,$1.37,8.21
2019-06-30,10.71,$1.39,7.7
2019-03-31,10.06,$1.41,7.14
2018-12-31,9.03,$1.45,6.23
2018-09-30,12.19,$1.23,9.91
2018-06-30,13.34,$1.20,11.11
2018-03-31,13.51,$1.14,11.85
2017-12-31,13.46,$1.03,13.06
2017-09-30,12.97,$1.20,10.8
2017-06-30,13.55,$1.09,12.43
2017-03-31,13.85,$1.08,12.82
2016-12-31,15.72,$1.11,14.16
2016-09-30,12.38,$1.10,11.26
2016-06-30,10.56,$1.20,8.8
2016-03-31,10.67,$1.20,8.89
2015-12-31,12.01,$1.17,10.27
2015-09-30,10.41,$1.17,8.9
2015-06-30,10.18,$1.12,9.09
2015-03-31,9.89,$1.11,8.91
2014-12-31,9.76,$1.12,8.71
2014-09-30,9.83,$1.08,9.1
2014-06-30,10.67,$1.11,9.61
2014-03-31,11.41,$1.12,10.19
2013-12-31,10.99,$1.06,10.37
2013-09-30,9.06,$1.09,8.31
2013-06-30,9.32,$1.03,9.05
2013-03-31,8.53,$0.94,9.07
2012-12-31,7.53,$1.00,7.53
2012-09-30,8.17,$0.77,10.61
2012-06-30,7.05,$0.76,9.28
2012-03-31,7.21,$0.70,10.3
2011-12-31,6.12,$0.57,10.74
2011-09-30,3.93,$0.65,6.05
2011-06-30,5.27,$0.53,9.94
2011-03-31,6.23,$-0.06,0.0
2010-12-31,6.38,$-0.31,0.0
2010-09-30,4.57,$-0.48,0.0
2010-06-30,5.46,$-0.48,0.0
2010-03-31,5.67,$-0.30,0.0
2009-12-31,7.35,$-0.36,0.0
