Gates Industrial PE Ratio Historical Data,Gates Industrial PE Ratio Historical Data,Gates Industrial PE Ratio Historical Data,Gates Industrial PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,18.34,,19.51
2024-06-30,15.81,$0.94,16.82
2024-03-31,17.71,$0.91,19.46
2023-12-31,13.42,$0.85,15.79
2023-09-30,11.61,$0.91,12.76
2023-06-30,13.48,$0.80,16.85
2023-03-31,13.89,$0.76,18.28
2022-12-31,11.41,$0.77,14.82
2022-09-30,9.76,$0.68,14.35
2022-06-30,10.81,$0.73,14.81
2022-03-31,15.06,$0.87,17.31
2021-12-31,15.91,$1.00,15.91
2021-09-30,16.27,$0.87,18.7
2021-06-30,18.07,$0.78,23.17
2021-03-31,15.99,$0.37,43.22
2020-12-31,12.76,$0.26,49.08
2020-09-30,11.12,$0.25,44.48
2020-06-30,10.28,$0.23,44.7
2020-03-31,7.38,$0.38,19.42
2019-12-31,13.76,$2.34,5.88
2019-09-30,10.07,$2.53,3.98
2019-06-30,11.41,$2.61,4.37
2019-03-31,14.34,$2.83,5.07
2018-12-31,13.24,$0.84,15.76
