Marriott Vacations Worldwide PE Ratio Historical Data,Marriott Vacations Worldwide PE Ratio Historical Data,Marriott Vacations Worldwide PE Ratio Historical Data,Marriott Vacations Worldwide PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,80.37,,19.05
2024-06-30,86.44,$4.22,20.48
2024-03-31,105.78,$5.41,19.55
2023-12-31,82.69,$6.25,13.23
2023-09-30,97.14,$7.40,13.13
2023-06-30,117.63,$8.84,13.31
2023-03-31,128.52,$9.64,13.33
2022-12-31,127.66,$8.81,14.49
2022-09-30,114.97,$8.12,14.16
2022-06-30,109.13,$5.82,18.75
2022-03-31,147.46,$3.00,49.15
2021-12-31,157.39,$1.09,144.39
2021-09-30,146.05,$-1.18,0.0
2021-06-30,147.37,$-2.92,0.0
2021-03-31,161.13,$-4.75,0.0
2020-12-31,126.94,$-6.63,0.0
2020-09-30,84.01,$-4.04,0.0
2020-06-30,76.05,$-2.74,0.0
2020-03-31,51.42,$0.04,1285.42
2019-12-31,118.45,$3.11,38.09
2019-09-30,94.92,$2.31,41.09
2019-06-30,87.94,$0.77,114.21
2019-03-31,84.89,$0.06,1414.91
2018-12-31,63.73,$0.87,73.25
2018-09-30,100.33,$3.91,25.66
2018-06-30,101.07,$7.13,14.18
2018-03-31,118.78,$8.32,14.28
2017-12-31,120.23,$8.21,14.64
2017-09-30,110.4,$6.06,18.22
2017-06-30,104.07,$5.56,18.72
2017-03-31,88.05,$5.24,16.8
2016-12-31,74.47,$4.85,15.36
2016-09-30,64.1,$4.11,15.6
2016-06-30,59.63,$3.81,15.65
2016-03-31,58.48,$3.60,16.24
2015-12-31,49.07,$3.81,12.88
2015-09-30,58.41,$2.76,21.16
2015-06-30,78.36,$2.84,27.59
2015-03-31,69.02,$2.79,24.74
2014-12-31,63.28,$1.91,33.13
2014-09-30,53.63,$2.57,20.87
2014-06-30,49.59,$2.67,18.57
2013-12-31,44.62,$2.17,20.56
2013-09-30,37.21,$1.80,20.67
2013-06-30,36.57,$1.67,21.9
2013-03-31,36.29,$0.99,36.66
2012-12-31,35.24,$0.73,48.28
2014-03-31,47.28,$1.19,39.74
2012-09-30,30.46,$0.88,34.62
