Williams-Sonoma PE Ratio Historical Data,Williams-Sonoma PE Ratio Historical Data,Williams-Sonoma PE Ratio Historical Data,Williams-Sonoma PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,142.39,,17.1
2024-07-31,154.68,$8.33,18.58
2024-04-30,142.84,$7.76,18.41
2024-01-31,95.93,$8.37,11.47
2023-10-31,74.21,$7.51,9.89
2023-04-30,59.04,$7.61,7.76
2023-01-31,65.34,$8.19,7.98
2022-10-31,59.57,$8.25,7.22
2022-07-31,69.0,$7.95,8.68
2022-04-30,61.99,$7.66,8.09
2022-01-31,75.85,$7.52,10.09
2023-07-31,68.09,$6.26,10.88
2021-10-31,87.32,$6.66,13.11
2021-07-31,71.05,$6.29,11.31
2021-04-30,79.67,$5.53,14.41
2021-01-31,59.95,$4.31,13.92
2020-10-31,42.23,$3.40,12.44
2020-07-31,40.12,$2.60,15.46
2020-04-30,28.32,$2.14,13.23
2020-01-31,31.82,$2.25,14.17
2019-10-31,30.13,$2.16,13.95
2019-07-31,29.87,$2.19,13.64
2019-04-30,25.43,$2.11,12.08
2019-01-31,24.01,$2.05,11.74
2018-10-31,25.97,$1.65,15.79
2018-07-31,25.39,$1.57,16.23
2018-04-30,20.61,$1.56,13.21
2018-01-31,21.9,$1.52,14.45
2017-10-31,21.9,$1.77,12.41
2017-07-31,19.56,$1.74,11.27
2017-04-30,22.57,$1.72,13.12
2017-01-31,19.99,$2.27,8.81
2016-10-31,19.02,$1.84,10.34
2016-07-31,22.08,$1.74,12.69
2016-01-31,20.82,$1.69,12.32
2015-10-31,29.53,$1.70,17.37
2015-07-31,33.73,$1.54,21.98
2015-04-30,29.17,$1.59,18.41
2015-01-31,30.9,$1.61,19.2
2016-04-30,23.83,$1.07,22.38
2014-10-31,25.58,$1.54,16.66
2014-07-31,26.25,$1.49,17.67
2014-04-30,24.47,$1.47,16.7
2014-01-31,21.12,$1.43,14.82
2013-10-31,20.2,$1.41,14.38
2013-07-31,22.54,$1.36,16.57
2013-04-30,20.45,$1.33,15.37
2013-01-31,16.66,$1.28,13.02
2012-10-31,17.42,$1.20,14.58
2012-07-31,13.03,$1.16,11.28
2012-04-30,14.41,$1.13,12.81
2012-01-31,13.28,$1.12,11.86
2011-10-31,13.82,$1.06,13.04
2011-07-31,13.57,$1.03,13.23
2011-04-30,15.84,$0.98,16.16
2011-01-31,11.7,$0.93,12.65
2010-10-31,11.71,$0.81,14.54
2010-07-31,9.62,$0.67,14.35
2010-04-30,10.31,$0.53,19.45
2010-01-31,6.77,$0.50,13.53
2009-10-31,6.65,$0.01,0.0
