Ball PE Ratio Historical Data,Ball PE Ratio Historical Data,Ball PE Ratio Historical Data,Ball PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,63.81,,4.82
2024-06-30,60.02,$13.25,4.53
2024-03-31,67.36,$13.29,5.07
2023-12-31,57.34,$2.24,25.6
2023-09-30,49.45,$1.92,25.75
2023-06-30,57.61,$2.52,22.86
2023-03-31,54.33,$1.42,38.26
2022-12-31,50.24,$2.23,22.53
2022-09-30,47.3,$2.96,15.98
2022-06-30,67.07,$2.26,29.68
2022-03-31,87.53,$3.42,25.59
2021-12-31,93.42,$2.65,35.25
2021-09-30,87.12,$2.43,35.85
2021-06-30,78.29,$2.61,30.0
2021-03-31,81.74,$2.28,35.85
2020-12-31,89.72,$1.75,51.27
2020-09-30,79.91,$1.55,51.55
2020-06-30,66.68,$1.10,60.62
2020-03-31,61.92,$1.40,44.23
2019-12-31,61.79,$1.67,37.0
2019-09-30,69.41,$1.63,42.59
2019-06-30,66.6,$1.53,43.53
2019-03-31,54.93,$1.29,42.58
2018-12-31,43.57,$1.30,33.51
2018-09-30,41.6,$1.38,30.14
2018-06-30,33.54,$1.34,25.03
2018-03-31,37.36,$1.28,29.19
2017-12-31,35.52,$1.12,31.72
2017-09-30,38.66,$0.64,60.41
2017-06-30,39.41,$0.51,77.28
2017-03-31,34.59,$1.50,23.06
2016-12-31,34.9,$0.86,40.58
2016-09-30,38.04,$1.02,37.47
2016-06-30,33.5,$1.18,28.51
2016-03-31,32.97,$0.47,70.16
2015-12-31,33.58,$1.00,33.74
2015-09-30,28.66,$1.07,26.79
2015-06-30,32.26,$1.43,22.56
2015-03-31,32.43,$1.40,23.16
2014-12-31,31.24,$1.65,18.93
2014-09-30,28.94,$1.81,16.03
2014-06-30,28.61,$1.68,17.08
2014-03-31,24.96,$1.46,17.16
2013-12-31,23.47,$1.37,17.2
2013-09-30,20.34,$1.14,17.92
2013-06-30,18.77,$1.11,16.91
2013-03-31,21.44,$1.24,17.36
2012-12-31,20.1,$1.28,15.77
2012-09-30,18.96,$1.32,14.42
2012-06-30,18.35,$1.35,13.65
2012-03-31,19.13,$1.33,14.43
2011-12-31,15.89,$1.32,12.08
2011-09-30,13.77,$1.34,10.28
2011-06-30,17.04,$1.57,10.86
2011-03-31,15.86,$1.34,11.88
2010-12-31,15.02,$1.28,11.71
2010-09-30,12.97,$1.30,10.02
2010-06-30,11.62,$1.02,11.39
2009-12-31,11.33,$1.02,11.14
2009-09-30,10.76,$1.02,10.6
