Restaurant Brands PE Ratio Historical Data,Restaurant Brands PE Ratio Historical Data,Restaurant Brands PE Ratio Historical Data,Restaurant Brands PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,71.07,,17.81
2024-06-30,69.79,$3.99,17.49
2024-03-31,78.15,$3.88,20.14
2023-12-31,76.3,$3.77,20.24
2023-09-30,64.58,$2.91,22.19
2023-06-30,74.55,$3.29,22.66
2023-03-31,64.11,$3.28,19.54
2022-12-31,61.2,$3.26,18.77
2022-09-30,49.91,$3.09,16.15
2022-06-30,46.64,$2.62,17.8
2022-03-31,53.7,$2.70,19.89
2021-12-31,55.29,$2.69,20.56
2021-09-30,55.25,$2.42,22.83
2021-06-30,57.69,$2.19,26.34
2021-03-31,57.72,$1.70,33.95
2020-12-31,53.82,$1.60,33.64
2020-09-30,50.23,$1.84,27.3
2020-06-30,47.27,$2.12,22.3
2020-03-31,34.32,$2.32,14.79
2019-12-31,54.06,$2.37,22.81
2019-09-30,59.85,$2.47,24.23
2019-06-30,58.1,$2.25,25.82
2019-03-31,54.0,$2.36,22.88
2018-12-31,43.03,$2.42,17.78
2018-09-30,48.37,$3.37,14.35
2018-06-30,48.81,$3.21,15.21
2018-03-31,45.72,$2.92,15.66
2017-12-31,49.0,$2.54,19.29
2017-09-30,50.74,$1.45,34.99
2017-06-30,49.52,$1.44,34.39
2017-03-31,43.99,$1.45,30.34
2016-12-31,37.49,$1.45,25.86
2016-09-30,34.95,$1.20,29.12
2016-06-30,32.5,$1.08,30.09
2016-03-31,30.23,$0.75,40.3
2015-12-31,28.97,$0.50,57.94
2015-09-30,27.75,$-2.27,0.0
