United Parks & Resorts PE Ratio Historical Data,United Parks & Resorts PE Ratio Historical Data,United Parks & Resorts PE Ratio Historical Data,United Parks & Resorts PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,54.06,,14.11
2024-06-30,54.31,$3.83,14.18
2024-03-31,56.21,$3.72,15.11
2023-12-31,52.83,$3.63,14.55
2023-09-30,46.25,$3.77,12.27
2023-06-30,56.01,$3.84,14.59
2023-03-31,61.31,$4.11,14.92
2022-12-31,53.51,$4.25,12.59
2022-09-30,45.51,$4.41,10.32
2022-06-30,44.18,$3.70,11.94
2022-03-31,74.44,$3.67,20.28
2021-12-31,64.86,$3.22,20.14
2021-09-30,55.32,$1.72,32.16
2021-06-30,49.94,$-0.57,0.0
2021-03-31,49.67,$-3.84,0.0
2020-12-31,31.59,$-3.99,0.0
2020-09-30,19.72,$-3.72,0.0
2020-06-30,14.81,$-1.47,0.0
2020-03-31,11.02,$0.85,12.96
2019-12-31,31.71,$1.13,28.06
2019-09-30,26.32,$1.31,20.09
2019-06-30,31.0,$1.17,26.5
2019-03-31,25.76,$0.79,32.61
2018-12-31,22.09,$0.50,44.18
2018-09-30,31.43,$0.39,80.59
2018-06-30,21.82,$-0.07,0.0
2018-03-31,14.83,$-2.38,0.0
2017-12-31,13.57,$-2.37,0.0
2017-09-30,12.99,$-2.27,0.0
2017-06-30,16.27,$-2.14,0.0
2017-03-31,18.27,$0.12,152.25
2016-12-31,18.93,$-0.16,0.0
2016-09-30,13.48,$-0.15,0.0
2016-06-30,14.23,$0.22,64.67
2016-03-31,20.63,$0.08,257.87
2015-12-31,18.84,$0.57,33.05
2015-09-30,17.04,$0.41,41.56
2015-06-30,17.44,$0.27,64.6
2015-03-31,18.05,$0.63,28.64
2014-12-31,16.36,$0.58,28.21
2014-09-30,17.58,$0.72,24.41
2014-06-30,25.62,$1.05,24.4
2014-03-31,27.15,$0.44,61.7
