Air Transport Services PE Ratio Historical Data,Air Transport Services PE Ratio Historical Data,Air Transport Services PE Ratio Historical Data,Air Transport Services PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,16.52,,66.08
2024-06-30,13.87,$0.25,55.48
2024-03-31,13.76,$0.63,21.84
2023-12-31,17.61,$0.75,23.48
2023-09-30,20.87,$1.48,14.1
2023-06-30,18.87,$1.82,10.37
2023-03-31,20.83,$1.95,10.68
2022-12-31,25.98,$2.27,11.44
2022-09-30,24.09,$2.34,10.29
2022-06-30,28.73,$2.60,11.05
2022-03-31,33.45,$2.72,12.3
2021-12-31,29.38,$2.64,11.13
2021-09-30,25.81,$2.14,12.06
2021-06-30,23.23,$1.20,19.36
2021-03-31,29.26,$-1.32,0.0
2020-12-31,31.34,$-2.49,0.0
2020-09-30,25.06,$-2.37,0.0
2020-06-30,22.27,$-2.72,0.0
2019-12-31,23.46,$-0.69,0.0
2019-09-30,21.02,$-0.08,0.0
2019-06-30,24.4,$-0.03,0.0
2019-03-31,23.05,$0.63,36.59
2018-12-31,22.81,$0.65,35.09
2018-09-30,21.47,$1.84,11.67
2018-06-30,22.59,$1.04,21.72
2018-03-31,23.32,$1.75,13.33
2017-12-31,23.14,$0.57,40.6
2017-09-30,24.34,$-0.42,0.0
2020-03-31,18.28,$0.17,107.53
2017-06-30,21.78,$-0.63,0.0
2017-03-31,16.05,$0.40,40.13
2016-12-31,15.96,$0.50,31.92
2016-09-30,14.35,$0.57,25.18
2016-06-30,12.96,$0.61,21.25
2015-12-31,10.08,$0.63,16.0
2015-09-30,8.55,$0.46,18.59
2015-06-30,10.49,$0.51,20.57
2015-03-31,9.22,$0.50,18.44
2014-12-31,8.56,$0.46,18.61
2014-09-30,7.28,$-0.27,0.0
2014-06-30,8.37,$-0.30,0.0
2014-03-31,7.85,$-0.32,0.0
2013-12-31,8.09,$-0.31,0.0
2013-09-30,7.49,$0.49,15.29
2016-03-31,15.38,$0.56,27.46
2013-06-30,6.61,$0.61,10.84
2013-03-31,5.83,$0.67,8.7
2012-12-31,4.01,$0.64,6.27
2012-09-30,4.41,$0.65,6.78
2012-06-30,5.2,$0.39,13.33
2012-03-31,5.79,$0.41,14.12
2011-12-31,4.72,$0.35,13.49
2011-09-30,4.33,$0.34,12.74
2011-06-30,6.85,$0.59,11.61
2011-03-31,8.45,$0.55,15.36
2010-12-31,7.9,$0.63,12.54
2010-09-30,6.09,$0.62,9.82
2010-06-30,4.76,$0.51,9.33
2010-03-31,3.35,$0.49,6.83
2009-12-31,2.64,$0.55,4.8
