Allegiant Travel PE Ratio Historical Data,Allegiant Travel PE Ratio Historical Data,Allegiant Travel PE Ratio Historical Data,Allegiant Travel PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,63.15,,0.0
2024-06-30,50.23,$-0.89,0.0
2024-03-31,74.45,$3.16,23.56
2023-12-31,81.17,$6.32,12.84
2023-09-30,74.81,$9.32,8.03
2023-06-30,122.2,$10.32,11.84
2023-03-31,89.01,$6.11,14.57
2022-12-31,65.79,$5.20,12.65
2022-03-31,157.14,$7.82,20.09
2021-12-31,181.0,$8.68,20.85
2021-09-30,189.16,$6.30,30.03
2021-06-30,187.73,$4.36,43.06
2021-03-31,236.17,$-2.95,0.0
2020-12-31,183.12,$-9.22,0.0
2022-06-30,109.44,$-9.51,0.0
2020-09-30,115.93,$-6.03,0.0
2020-06-30,105.68,$-1.51,0.0
2020-03-31,79.16,$8.67,9.13
2019-12-31,167.55,$14.27,11.74
2019-09-30,143.48,$13.11,10.94
2019-06-30,136.94,$11.35,12.07
2019-03-31,122.96,$10.12,12.15
2018-12-31,94.68,$10.02,9.45
2018-09-30,119.1,$12.59,9.46
2018-06-30,129.85,$13.04,9.96
2018-03-31,160.54,$12.88,12.46
2017-12-31,143.37,$11.96,11.99
2017-09-30,121.4,$9.31,13.04
2017-06-30,124.29,$10.67,11.65
2017-03-31,146.15,$11.41,12.81
2016-12-31,151.16,$13.20,11.45
2016-09-30,119.47,$14.10,8.47
2016-06-30,136.31,$13.97,9.76
2016-03-31,159.42,$13.47,11.84
2015-12-31,150.0,$9.45,15.87
2015-09-30,191.17,$6.87,27.83
2015-06-30,157.04,$6.11,25.7
2014-12-31,132.34,$4.79,27.63
2014-09-30,106.99,$5.46,19.59
2014-06-30,101.89,$8.40,12.13
2014-03-31,96.84,$7.45,13.0
2013-12-31,91.22,$6.93,13.16
2015-03-31,169.51,$7.64,22.19
2013-09-30,89.22,$4.66,19.15
2013-06-30,89.75,$4.63,19.39
2013-03-31,75.18,$4.59,16.38
2012-12-31,62.17,$4.07,15.27
2012-09-30,52.23,$3.87,13.5
2012-06-30,57.44,$3.48,16.51
2012-03-31,44.93,$2.80,16.05
2011-12-31,43.97,$2.56,17.18
2011-09-30,38.85,$2.64,14.72
2011-06-30,40.8,$2.82,14.47
2011-03-31,36.11,$3.07,11.76
2010-12-31,40.59,$3.30,12.3
2010-09-30,34.89,$3.18,10.97
2010-06-30,35.19,$-0.07,0.0
2010-03-31,47.02,$-0.26,0.0
2009-12-31,38.34,$-0.21,0.0
2022-09-30,70.62,$0.64,110.35
