Tenet Healthcare PE Ratio Historical Data,Tenet Healthcare PE Ratio Historical Data,Tenet Healthcare PE Ratio Historical Data,Tenet Healthcare PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,161.71,,5.93
2024-06-30,133.03,$27.26,4.88
2024-03-31,105.11,$25.77,4.08
2023-12-31,75.57,$5.71,13.23
2023-09-30,65.89,$4.33,15.22
2023-06-30,81.38,$4.55,17.89
2023-03-31,59.42,$3.75,15.85
2022-12-31,48.79,$3.71,13.15
2022-09-30,51.58,$5.08,10.15
2022-06-30,52.56,$8.05,6.53
2022-03-31,85.96,$8.80,9.77
2021-12-31,81.69,$8.42,9.7
2021-09-30,66.44,$9.99,6.65
2021-06-30,66.99,$4.00,16.75
2021-03-31,52.0,$3.73,13.94
2020-12-31,39.93,$3.71,10.76
2020-09-30,24.51,$-0.13,0.0
2020-06-30,18.11,$-0.51,0.0
2020-03-31,14.4,$-1.18,0.0
2019-12-31,38.03,$-2.24,0.0
2019-09-30,22.12,$-2.31,0.0
2019-06-30,20.66,$-0.16,0.0
2019-03-31,28.84,$-0.07,0.0
2018-12-31,17.14,$1.07,16.02
2018-09-30,28.46,$-1.15,0.0
2018-06-30,33.57,$-4.70,0.0
2018-03-31,24.25,$-5.50,0.0
2017-12-31,15.16,$-6.99,0.0
2017-09-30,16.43,$-5.51,0.0
2017-06-30,19.34,$-1.95,0.0
2017-03-31,17.71,$-1.86,0.0
2016-12-31,14.84,$-1.93,0.0
2016-09-30,22.66,$-2.12,0.0
2016-06-30,27.64,$-2.33,0.0
2016-03-31,28.93,$-2.48,0.0
2015-12-31,30.3,$-1.41,0.0
2015-09-30,36.92,$0.18,205.11
2015-06-30,57.88,$0.56,103.36
2015-03-31,49.51,$0.90,55.01
2014-12-31,50.67,$0.10,506.7
2014-09-30,59.39,$-0.75,0.0
2014-06-30,46.94,$-0.57,0.0
2014-03-31,42.81,$-0.79,0.0
2013-12-31,42.12,$-1.31,0.0
2013-09-30,41.19,$-0.62,0.0
2013-06-30,46.1,$-0.52,0.0
2013-03-31,47.58,$-0.09,0.0
2012-12-31,32.47,$1.24,26.19
2012-09-30,25.08,$0.11,228.0
2012-06-30,20.96,$-0.22,0.0
2012-03-31,21.24,$0.28,75.86
2011-12-31,20.52,$0.36,57.0
2011-09-30,16.44,$1.60,10.28
2011-06-30,24.96,$8.28,3.01
2011-03-31,29.8,$8.04,3.71
2010-12-31,26.76,$8.16,3.28
2010-09-30,18.88,$7.76,2.43
2010-06-30,17.36,$1.00,17.36
2010-03-31,22.88,$0.68,33.65
2009-12-31,21.56,$1.48,14.57
