Heico PE Ratio Historical Data,Heico PE Ratio Historical Data,Heico PE Ratio Historical Data,Heico PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,206.9,,60.67
2024-07-31,190.11,$3.41,55.75
2024-04-30,165.85,$3.18,52.15
2024-01-31,141.47,$3.06,46.23
2023-10-31,127.13,$2.91,43.69
2023-07-31,140.35,$2.87,48.9
2023-04-30,134.23,$2.73,49.17
2023-01-31,133.68,$2.59,51.61
2022-10-31,127.3,$2.55,49.92
2022-07-31,127.68,$2.47,51.69
2022-04-30,116.64,$2.43,48.0
2022-01-31,109.7,$2.32,47.28
2021-10-31,125.68,$2.20,57.13
2021-07-31,121.29,$2.03,59.75
2021-04-30,126.19,$1.87,67.48
2021-01-31,106.23,$1.91,55.62
2020-10-31,93.37,$2.29,40.77
2020-07-31,76.44,$2.46,31.07
2020-04-30,72.16,$2.65,27.23
2020-01-31,95.92,$2.70,35.53
2019-10-31,94.96,$2.39,39.73
2019-07-31,105.05,$2.26,46.48
2019-04-30,89.08,$2.16,41.24
2019-01-31,69.76,$2.00,34.88
2018-10-31,66.32,$1.82,36.51
2018-07-31,64.42,$1.67,38.67
2018-04-30,57.37,$1.52,37.87
2017-10-31,48.37,$1.38,35.12
2017-07-31,45.16,$1.31,34.39
2017-04-30,38.91,$1.45,26.76
2017-01-31,33.67,$1.43,23.51
2016-10-31,30.43,$1.42,21.4
2018-01-31,52.36,$1.32,39.53
2016-07-31,29.25,$1.13,25.85
2016-04-30,25.92,$1.08,24.11
2016-01-31,23.5,$1.03,22.72
2015-10-31,22.08,$1.01,21.9
2015-07-31,22.93,$0.97,23.7
2015-04-30,23.16,$0.96,24.19
2015-01-31,23.82,$0.92,25.84
2014-10-31,23.06,$0.92,25.03
2014-07-31,20.32,$0.90,22.55
2014-04-30,20.51,$0.87,23.54
2014-01-31,19.61,$0.84,23.44
2013-10-31,19.45,$0.78,24.99
2013-07-31,16.06,$0.74,21.79
2013-04-30,13.48,$0.69,19.53
2013-01-31,13.56,$0.66,20.62
2012-10-31,11.02,$0.69,15.96
2012-07-31,10.66,$0.69,15.53
2012-04-30,11.63,$0.71,16.41
2012-01-31,11.13,$0.72,15.35
2011-10-31,11.33,$0.75,15.2
2011-07-31,10.66,$0.75,14.31
2011-04-30,10.23,$0.73,14.04
2011-01-31,8.79,$0.72,12.26
2010-10-31,8.54,$0.69,12.33
2010-07-31,6.64,$0.51,12.97
2010-04-30,7.69,$0.33,23.19
2010-01-31,6.19,$0.18,34.36
2009-10-31,5.65,0,0.0
