Globant S.A PE Ratio Historical Data,Globant S.A PE Ratio Historical Data,Globant S.A PE Ratio Historical Data,Globant S.A PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,216.49,,56.52
2024-06-30,178.26,$3.83,46.54
2024-03-31,201.9,$3.81,52.99
2023-12-31,237.98,$3.63,65.56
2023-09-30,197.85,$3.58,55.27
2023-06-30,179.72,$3.44,52.24
2023-03-31,164.01,$3.46,47.4
2022-12-31,168.16,$3.48,48.32
2022-09-30,187.08,$3.25,57.56
2022-06-30,174.0,$3.01,57.81
2022-03-31,262.07,$2.62,100.03
2021-12-31,314.09,$2.29,137.16
2021-09-30,281.01,$2.07,135.75
2021-06-30,219.18,$1.77,123.83
2021-03-31,207.61,$1.55,133.94
2020-12-31,217.61,$1.37,158.84
2020-09-30,179.22,$1.31,136.81
2020-06-30,149.85,$1.33,112.67
2020-03-31,87.88,$1.38,63.68
2019-09-30,91.58,$1.45,63.16
2019-03-31,71.4,$1.44,49.58
2018-12-31,56.32,$1.40,40.23
2018-09-30,58.99,$1.43,41.25
2018-06-30,56.79,$1.23,46.17
2018-03-31,51.54,$0.90,57.27
2017-12-31,46.46,$0.87,53.4
2017-09-30,40.07,$0.82,48.87
2017-06-30,43.44,$0.87,49.93
2017-03-31,36.4,$1.06,34.34
2016-12-31,33.35,$1.04,32.07
2016-09-30,42.12,$0.99,42.55
2016-06-30,39.35,$0.95,41.42
2016-03-31,30.86,$0.92,33.54
2015-12-31,37.51,$0.91,41.22
2015-09-30,30.59,$0.91,33.62
2015-06-30,30.43,$0.91,33.44
