Booz Allen Hamilton Holding PE Ratio Historical Data,Booz Allen Hamilton Holding PE Ratio Historical Data,Booz Allen Hamilton Holding PE Ratio Historical Data,Booz Allen Hamilton Holding PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,163.3,,35.12
2024-06-30,153.37,$4.65,32.98
2024-03-31,147.43,$4.60,32.05
2023-12-31,126.6,$3.10,40.84
2023-09-30,107.76,$2.22,48.54
2023-06-30,109.63,$2.21,49.61
2023-03-31,90.66,$2.02,44.88
2022-12-31,101.72,$3.22,31.59
2022-09-30,89.51,$3.94,22.72
2022-06-30,87.19,$3.80,22.95
2022-03-31,84.32,$3.44,24.51
2021-12-31,80.93,$4.19,19.31
2021-09-30,75.43,$4.27,17.66
2021-06-30,80.6,$4.11,19.61
2021-03-31,75.88,$4.42,17.17
2020-12-31,81.78,$3.78,21.64
2020-09-30,77.57,$3.55,21.85
2020-03-31,63.68,$3.40,18.73
2019-12-31,65.72,$3.05,21.55
2019-09-30,65.37,$3.18,20.56
2019-06-30,60.75,$3.30,18.41
2019-03-31,53.16,$3.11,17.09
2020-06-30,72.46,$3.20,22.64
2018-12-31,41.03,$2.86,14.35
2018-09-30,45.02,$2.41,18.68
2018-06-30,39.51,$2.24,17.64
2018-03-31,34.84,$2.05,17.0
2017-12-31,34.14,$1.91,17.87
2017-09-30,33.32,$1.81,18.41
2017-06-30,28.85,$1.75,16.48
2017-03-31,31.23,$1.67,18.7
2016-12-31,31.68,$1.66,19.08
2016-09-30,27.63,$2.00,13.82
2016-06-30,25.78,$1.96,13.15
2016-03-31,26.2,$1.94,13.51
2015-12-31,26.54,$1.80,14.75
2015-09-30,22.45,$1.44,15.59
2015-06-30,21.51,$1.49,14.44
2015-03-31,24.54,$1.53,16.04
2014-12-31,22.4,$1.54,14.54
2014-09-30,19.67,$1.50,13.11
2014-06-30,16.96,$1.53,11.08
2014-03-31,17.48,$1.43,12.22
2013-12-31,14.35,$1.51,9.5
2013-09-30,13.63,$1.47,9.27
2013-03-31,9.38,$1.45,6.47
2012-12-31,9.65,$1.44,6.7
2012-09-30,9.54,$1.54,6.19
2012-06-30,6.8,$1.71,3.98
2012-03-31,6.88,$1.81,3.8
2013-06-30,12.2,$1.82,6.7
2011-12-31,6.93,$1.47,4.72
2011-09-30,5.98,$1.21,4.94
