Taboola PE Ratio Historical Data,Taboola PE Ratio Historical Data,Taboola PE Ratio Historical Data,Taboola PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,3.59,,0.0
2024-06-30,3.44,$-0.15,0.0
2024-03-31,4.44,$-0.23,0.0
2023-12-31,4.33,$-0.24,0.0
2023-09-30,3.79,$-0.19,0.0
2023-06-30,3.11,$-0.22,0.0
2023-03-31,2.72,$-0.15,0.0
2022-12-31,3.08,$-0.05,0.0
2022-09-30,1.81,$-0.11,0.0
2022-06-30,2.53,$0.06,42.17
2022-03-31,5.16,$-1.31,0.0
2021-12-31,7.78,$-1.32,0.0
2021-09-30,8.46,$-1.32,0.0
